Period,Level,Region,ICB,Org Code,Org Name,Metric,Type,Value
01/07/2025,National,[z],[z],ENG,England,G&A beds available,Type 1,98904
01/07/2025,Region,EAST OF ENGLAND,[z],Y61,East of England,G&A beds available,Type 1,10625
01/07/2025,Region,LONDON,[z],Y56,London,G&A beds available,Type 1,14274
01/07/2025,Region,MIDLANDS,[z],Y60,Midlands,G&A beds available,Type 1,18941
01/07/2025,Region,NORTH EAST AND YORKSHIRE,[z],Y63,North East and Yorkshire,G&A beds available,Type 1,17366
01/07/2025,Region,NORTH WEST,[z],Y62,North West,G&A beds available,Type 1,14284
01/07/2025,Region,SOUTH EAST,[z],Y59,South East,G&A beds available,Type 1,13486
01/07/2025,Region,SOUTH WEST,[z],Y58,South West,G&A beds available,Type 1,9928
01/07/2025,ICB,EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",QHG,"Bedfordshire, Luton and Milton Keynes ICB",G&A beds available,Type 1,1583
01/07/2025,ICB,EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,QUE,Cambridgeshire and Peterborough ICB,G&A beds available,Type 1,2030
01/07/2025,ICB,EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,QM7,Hertfordshire and West Essex ICB,G&A beds available,Type 1,1650
01/07/2025,ICB,EAST OF ENGLAND,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,QH8,Mid and South Essex ICB,G&A beds available,Type 1,1739
01/07/2025,ICB,EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,QMM,Norfolk and Waveney ICB,G&A beds available,Type 1,1891
01/07/2025,ICB,EAST OF ENGLAND,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,QJG,Suffolk and North East Essex ICB,G&A beds available,Type 1,1731
01/07/2025,ICB,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,QMJ,North Central London ICB,G&A beds available,Type 1,2491
01/07/2025,ICB,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,QMF,North East London ICB,G&A beds available,Type 1,2886
01/07/2025,ICB,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,QRV,North West London ICB,G&A beds available,Type 1,3144
01/07/2025,ICB,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,QKK,South East London ICB,G&A beds available,Type 1,3536
01/07/2025,ICB,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,QWE,South West London ICB,G&A beds available,Type 1,2217
01/07/2025,ICB,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,Birmingham and Solihull ICB,G&A beds available,Type 1,2777
01/07/2025,ICB,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,QUA,Black Country ICB,G&A beds available,Type 1,2566
01/07/2025,ICB,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,QWU,Coventry and Warwickshire ICB,G&A beds available,Type 1,1849
01/07/2025,ICB,MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,QJ2,Derby and Derbyshire ICB,G&A beds available,Type 1,1982
01/07/2025,ICB,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,QGH,Herefordshire and Worcestershire ICB,G&A beds available,Type 1,1211
01/07/2025,ICB,MIDLANDS,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",QK1,"Leicester, Leicestershire and Rutland ICB",G&A beds available,Type 1,1745
01/07/2025,ICB,MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,Lincolnshire ICB,G&A beds available,Type 1,988
01/07/2025,ICB,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,QPM,Northamptonshire ICB,G&A beds available,Type 1,1238
01/07/2025,ICB,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,QT1,Nottingham and Nottinghamshire ICB,G&A beds available,Type 1,2365
01/07/2025,ICB,MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,"Shropshire, Telford and Wrekin ICB",G&A beds available,Type 1,820
01/07/2025,ICB,MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,Staffordshire and Stoke on Trent ICB,G&A beds available,Type 1,1400
01/07/2025,ICB,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,QOQ,Humber and North Yorkshire ICB,G&A beds available,Type 1,2945
01/07/2025,ICB,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,QHM,North East and North Cumbria STP,G&A beds available,Type 1,6708
01/07/2025,ICB,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,QF7,South Yorkshire ICB,G&A beds available,Type 1,3245
01/07/2025,ICB,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,QWO,West Yorkshire ICB,G&A beds available,Type 1,4468
01/07/2025,ICB,NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,Cheshire and Merseyside ICB,G&A beds available,Type 1,5522
01/07/2025,ICB,NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,QOP,Greater Manchester ICB,G&A beds available,Type 1,5793
01/07/2025,ICB,NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,QE1,Lancashire and South Cumbria ICB,G&A beds available,Type 1,2968
01/07/2025,ICB,SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",G&A beds available,Type 1,1996
01/07/2025,ICB,SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,QNQ,Frimley ICB,G&A beds available,Type 1,1239
01/07/2025,ICB,SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,QRL,Hampshire and Isle of Wight ICB,G&A beds available,Type 1,3304
01/07/2025,ICB,SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,QKS,Kent and Medway ICB,G&A beds available,Type 1,2849
01/07/2025,ICB,SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,QXU,Surrey Heartlands ICB,G&A beds available,Type 1,1600
