"","TLI3","TLI5","TLI7","TLI6","TLI4","TLD3","TLD7","TLE3","TLC4","TLG3","TLE4","TLC3","TLD6","TLD4","TLE1","TLE2","TLF1","TLF2","TLG1","TLG2","TLK5","TLK6","TLK4","TLK7","TLH4","TLH2","TLH3","TLJ4","TLJ1","TLJ2","TLJ3","TLK3","TLD1","TLF3","TLH5","TLH6","TLL3","TLL4","TLL5","TLN0"
"RRV",0.125249599062315,0.0128128895194172,0.0178794195406145,0.0010294448551866,0.0605324734144369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071041683898038,0.00119805442237863,4.60167767188375e-05,4.47770961708694e-05,4.59067662269659e-05,0,0,0,0,0,0,NA,NA,NA,NA
"RQX",0.000607986468133789,0.00988885394701201,3.24608197905128e-05,0,0.0878241231078674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85016195626175e-05,0.000230869233872775,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RYJ",0.25541572939075,0.00188631633105206,0.104174261666169,0.00115722138287955,0.0054734853960086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17599564221356e-05,0,0,0,0,0.00401202209490257,5.88380329044695e-05,0,0.00143846421448918,0.00046480600804803,0,0,0,0,0,0,NA,NA,NA,NA
"RAL",0.0983104468393477,0.15465886342492,0.165128689671566,0,0.0604194645130149,2.12925260136597e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547890544839195,0.00160487739274667,0,4.13327041577256e-05,0,0,0,0,0,0,0,NA,NA,NA,NA
"R1H",0.0185984201125082,0.238873813013239,0.00602822393371201,0.00290350059468321,0.309898878934177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71883296870703e-05,0.00267300483074509,0.0330854664455104,0.000639245103094212,6.75961932579471e-05,0.000119070674901193,0,0,0,0,5.97916093193684e-05,0,NA,NA,NA,NA
"RQM",0.206682938127507,0.00036461878805947,0.174189752968167,0.00466665595165386,0.00509897915292382,0,0,0,5.8038807597789e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000200629047509406,0,0,0.000724613969765127,0.00319052025277413,3.53404821585135e-05,0,0,0,0,0,NA,NA,NA,NA
"RJ1",0.0711607365321785,0.0251952127569704,0.0115865150763029,0.0262351731010319,0.153698238199987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440210308421055,0.0008063612319003,0.012463339043849,0.0012132870866299,0.00325400070294736,0.000268171894026367,0,0,0,0,0,NA,NA,NA,NA
"RF4",0,0.281226274571573,0,0,0.0032356463364529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000178274836087745,0.0232466266194468,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RAJ",0,0.013352459923272,0,0,0.0011554941160908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304799672734345,0.616106491235935,6.0986089627375e-05,0,0,0,0,0,0,8.79951986209573e-05,0.0025382396027716,NA,NA,NA,NA
"RDE",0,0.000192392275313891,0,0,3.41654818252777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195198816514995,0,0,0,0,0,0,0,0.00119696032995943,0.464203774699727,NA,NA,NA,NA
