"","TLI3","TLI5","TLI7","TLI6","TLI4","TLD3","TLD7","TLE3","TLC4","TLG3","TLE4","TLC3","TLD6","TLD4","TLE1","TLE2","TLF1","TLF2","TLG1","TLG2","TLK5","TLK6","TLK4","TLK7","TLH4","TLH2","TLH3","TLJ4","TLJ1","TLJ2","TLJ3","TLK3","TLD1","TLF3","TLH5","TLH6","TLL3","TLL4","TLL5","TLN0"
"RRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RQX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RYJ",0.346058066625063,0.00636329037821221,0.328767986887106,0.0025378161035006,0.00785807669548255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176400782578017,0,0,0,0,0.116813381714044,0.000968098838281394,0,0.00480878564129136,0.00123721614910746,0,0,0,0,0,0,NA,NA,NA,NA
"RAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"R1H",0.0251986568006894,0.805815764265923,0.0190247285221201,0.00636745109857477,0.444910140855522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134577555327124,0.0778267731910116,0.544375806749032,0.0214579494910018,0.000225974063359097,0.00031694117399975,0,0,0,0,0.00372295588648497,0,NA,NA,NA,NA
"RQM",0.280030905470863,0.0012300032542687,0.549732856309792,0.010234095911825,0.00732041219687199,0,0,0,0.000217442306261766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584148266267472,0,0,0.00242238438619975,0.00849249603584872,0.00012331574270533,0,0,0,0,0,NA,NA,NA,NA
"RJ1",0.0964143710439512,0.0849934087269558,0.0365663761446201,0.0575344059131115,0.220658767924508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128170916250386,0.0132675640789231,0.418364878194034,0.00405601853850915,0.00866146768584256,0.000935748871116914,0,0,0,0,0,NA,NA,NA,NA
"RF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RAJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RJ2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"R1K",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RP4",0.00079046685091082,0.00186063272544084,0.00200160759034815,0,0.00089925173451825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471874644060075,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RKE",0.0221818073757095,0.0121786869301582,0.0398966098756482,0,0.110747567461173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RC9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RJZ",0.00636890434162432,0.0862675376585077,0,0.489935973014555,0.168853693000489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387239535312558,0.550592745612566,0,0.00227300281714881,0,0,0,0,0,0,NA,NA,NA,NA
"RN7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"RPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
