age_single_year,symptomatic_prob,IHR,IFR
0,1,0.0023,9.00E-05
1,1,0.0023,9.00E-05
2,1,0.0023,9.00E-05
3,1,0.0023,9.00E-05
4,1,0.0023,9.00E-05
5,1,0.0025,0.0001
6,1,0.0025,0.0001
7,1,0.0025,0.0001
8,1,0.0025,0.0001
9,1,0.0025,0.0001
10,1,0.00077,3.00E-05
11,1,0.00077,3.00E-05
12,1,0.00077,3.00E-05
13,1,0.00077,3.00E-05
14,1,0.00077,3.00E-05
15,1,0.00033,1.00E-05
16,1,0.00033,1.00E-05
17,1,0.00033,1.00E-05
18,1,0.00033,1.00E-05
19,1,0.00033,1.00E-05
20,1,0.00057,2.00E-05
21,1,0.00057,2.00E-05
22,1,0.00057,2.00E-05
23,1,0.00057,2.00E-05
24,1,0.00057,2.00E-05
25,1,0.0029,0.00013
26,1,0.0029,0.00013
27,1,0.0029,0.00013
28,1,0.0029,0.00013
29,1,0.0029,0.00013
30,1,0.004,0.0002
31,1,0.004,0.0002
32,1,0.004,0.0002
33,1,0.004,0.0002
34,1,0.004,0.0002
35,1,0.0057,0.00031
36,1,0.0057,0.00031
37,1,0.0057,0.00031
38,1,0.0057,0.00031
39,1,0.0057,0.00031
40,1,0.0092,0.00057
41,1,0.0092,0.00057
42,1,0.0092,0.00057
43,1,0.0092,0.00057
44,1,0.0092,0.00057
45,1,0.014,0.00106
46,1,0.014,0.00106
47,1,0.014,0.00106
48,1,0.014,0.00106
49,1,0.014,0.00106
50,1,0.018,0.00165
51,1,0.018,0.00165
52,1,0.018,0.00165
53,1,0.018,0.00165
54,1,0.018,0.00165
55,1,0.029,0.00331
56,1,0.029,0.00331
57,1,0.029,0.00331
58,1,0.029,0.00331
59,1,0.029,0.00331
60,1,0.067,0.00939
61,1,0.067,0.00939
62,1,0.067,0.00939
63,1,0.067,0.00939
64,1,0.067,0.00939
65,1,0.079,0.01344
66,1,0.079,0.01344
67,1,0.079,0.01344
68,1,0.079,0.01344
69,1,0.079,0.01344
70,1,0.17,0.03359
71,1,0.17,0.03359
72,1,0.17,0.03359
73,1,0.17,0.03359
74,1,0.17,0.03359
75,1,0.3,0.06761
76,1,0.3,0.06761
77,1,0.3,0.06761
78,1,0.3,0.06761
79,1,0.3,0.06761
80,1,0.3,0.07622
81,1,0.3,0.07622
82,1,0.3,0.07622
83,1,0.3,0.07622
84,1,0.3,0.07622
85,1,0.3,0.07622
86,1,0.3,0.07622
87,1,0.3,0.07622
88,1,0.3,0.07622
89,1,0.3,0.07622
90,1,0.3,0.07622
91,1,0.3,0.07622
92,1,0.3,0.07622
93,1,0.3,0.07622
94,1,0.3,0.07622
95,1,0.3,0.07622
96,1,0.3,0.07622
97,1,0.3,0.07622
98,1,0.3,0.07622
99,1,0.3,0.07622
100,1,0.3,0.07622
