age_single_year,symptomatic_prob,IHR,IFR
0,0.65,0.0023,9.00E-05
1,0.65,0.0023,9.00E-05
2,0.65,0.0023,9.00E-05
3,0.65,0.0023,9.00E-05
4,0.65,0.0023,9.00E-05
5,0.66875,0.0025,0.0001
6,0.66875,0.0025,0.0001
7,0.66875,0.0025,0.0001
8,0.66875,0.0025,0.0001
9,0.66875,0.0025,0.0001
10,0.725,0.00077,3.00E-05
11,0.725,0.00077,3.00E-05
12,0.725,0.00077,3.00E-05
13,0.725,0.00077,3.00E-05
14,0.725,0.00077,3.00E-05
15,0.81875,0.00033,1.00E-05
16,0.81875,0.00033,1.00E-05
17,0.81875,0.00033,1.00E-05
18,0.81875,0.00033,1.00E-05
19,0.81875,0.00033,1.00E-05
20,0.95,0.00057,2.00E-05
21,0.95,0.00057,2.00E-05
22,0.95,0.00057,2.00E-05
23,0.95,0.00057,2.00E-05
24,0.95,0.00057,2.00E-05
25,0.95,0.0029,0.00013
26,0.95,0.0029,0.00013
27,0.95,0.0029,0.00013
28,0.95,0.0029,0.00013
29,0.95,0.0029,0.00013
30,0.95,0.004,0.0002
31,0.95,0.004,0.0002
32,0.95,0.004,0.0002
33,0.95,0.004,0.0002
34,0.95,0.004,0.0002
35,0.95,0.0057,0.00031
36,0.95,0.0057,0.00031
37,0.95,0.0057,0.00031
38,0.95,0.0057,0.00031
39,0.95,0.0057,0.00031
40,0.95,0.0092,0.00057
41,0.95,0.0092,0.00057
42,0.95,0.0092,0.00057
43,0.95,0.0092,0.00057
44,0.95,0.0092,0.00057
45,0.95,0.014,0.00106
46,0.95,0.014,0.00106
47,0.95,0.014,0.00106
48,0.95,0.014,0.00106
49,0.95,0.014,0.00106
50,0.95,0.018,0.00165
51,0.95,0.018,0.00165
52,0.95,0.018,0.00165
53,0.95,0.018,0.00165
54,0.95,0.018,0.00165
55,0.95,0.029,0.00331
56,0.95,0.029,0.00331
57,0.95,0.029,0.00331
58,0.95,0.029,0.00331
59,0.95,0.029,0.00331
60,0.95,0.067,0.00939
61,0.95,0.067,0.00939
62,0.95,0.067,0.00939
63,0.95,0.067,0.00939
64,0.95,0.067,0.00939
65,0.95,0.079,0.01344
66,0.95,0.079,0.01344
67,0.95,0.079,0.01344
68,0.95,0.079,0.01344
69,0.95,0.079,0.01344
70,0.95,0.17,0.03359
71,0.95,0.17,0.03359
72,0.95,0.17,0.03359
73,0.95,0.17,0.03359
74,0.95,0.17,0.03359
75,0.95,0.3,0.06761
76,0.95,0.3,0.06761
77,0.95,0.3,0.06761
78,0.95,0.3,0.06761
79,0.95,0.3,0.06761
80,0.95,0.3,0.07622
81,0.95,0.3,0.07622
82,0.95,0.3,0.07622
83,0.95,0.3,0.07622
84,0.95,0.3,0.07622
85,0.95,0.3,0.07622
86,0.95,0.3,0.07622
87,0.95,0.3,0.07622
88,0.95,0.3,0.07622
89,0.95,0.3,0.07622
90,0.95,0.3,0.07622
91,0.95,0.3,0.07622
92,0.95,0.3,0.07622
93,0.95,0.3,0.07622
94,0.95,0.3,0.07622
95,0.95,0.3,0.07622
96,0.95,0.3,0.07622
97,0.95,0.3,0.07622
98,0.95,0.3,0.07622
99,0.95,0.3,0.07622
100,0.95,0.3,0.07622
