age_single_year,symptomatic_prob,IHR,IFR
0,0.25,0.0023,8.999999999999999e-5
1,0.25,0.0023,8.999999999999999e-5
2,0.25,0.0023,8.999999999999999e-5
3,0.25,0.0023,8.999999999999999e-5
4,0.25,0.0023,8.999999999999999e-5
5,0.26875,0.0025,0.0001
6,0.26875,0.0025,0.0001
7,0.26875,0.0025,0.0001
8,0.26875,0.0025,0.0001
9,0.26875,0.0025,0.0001
10,0.325,0.00077,3.0e-5
11,0.325,0.00077,3.0e-5
12,0.325,0.00077,3.0e-5
13,0.325,0.00077,3.0e-5
14,0.325,0.00077,3.0e-5
15,0.41875,0.00033,1.0e-5
16,0.41875,0.00033,1.0e-5
17,0.41875,0.00033,1.0e-5
18,0.41875,0.00033,1.0e-5
19,0.41875,0.00033,1.0e-5
20,0.55,0.00057,2.0e-5
21,0.55,0.00057,2.0e-5
22,0.55,0.00057,2.0e-5
23,0.55,0.00057,2.0e-5
24,0.55,0.00057,2.0e-5
25,0.55,0.0029,0.00013
26,0.55,0.0029,0.00013
27,0.55,0.0029,0.00013
28,0.55,0.0029,0.00013
29,0.55,0.0029,0.00013
30,0.55,0.004,0.0002
31,0.55,0.004,0.0002
32,0.55,0.004,0.0002
33,0.55,0.004,0.0002
34,0.55,0.004,0.0002
35,0.55,0.005699999999999999,0.00031
36,0.55,0.005699999999999999,0.00031
37,0.55,0.005699999999999999,0.00031
38,0.55,0.005699999999999999,0.00031
39,0.55,0.005699999999999999,0.00031
40,0.55,0.0092,0.00057
41,0.55,0.0092,0.00057
42,0.55,0.0092,0.00057
43,0.55,0.0092,0.00057
44,0.55,0.0092,0.00057
45,0.55,0.013999999999999999,0.00106
46,0.55,0.013999999999999999,0.00106
47,0.55,0.013999999999999999,0.00106
48,0.55,0.013999999999999999,0.00106
49,0.55,0.013999999999999999,0.00106
50,0.55,0.018000000000000002,0.00165
51,0.55,0.018000000000000002,0.00165
52,0.55,0.018000000000000002,0.00165
53,0.55,0.018000000000000002,0.00165
54,0.55,0.018000000000000002,0.00165
55,0.55,0.028999999999999998,0.00331
56,0.55,0.028999999999999998,0.00331
57,0.55,0.028999999999999998,0.00331
58,0.55,0.028999999999999998,0.00331
59,0.55,0.028999999999999998,0.00331
60,0.55,0.067,0.009389999999999999
61,0.55,0.067,0.009389999999999999
62,0.55,0.067,0.009389999999999999
63,0.55,0.067,0.009389999999999999
64,0.55,0.067,0.009389999999999999
65,0.55,0.079,0.01344
66,0.55,0.079,0.01344
67,0.55,0.079,0.01344
68,0.55,0.079,0.01344
69,0.55,0.079,0.01344
70,0.55,0.17,0.03359
71,0.55,0.17,0.03359
72,0.55,0.17,0.03359
73,0.55,0.17,0.03359
74,0.55,0.17,0.03359
75,0.55,0.3,0.06761
76,0.55,0.3,0.06761
77,0.55,0.3,0.06761
78,0.55,0.3,0.06761
79,0.55,0.3,0.06761
80,0.55,0.3,0.07622
81,0.55,0.3,0.07622
82,0.55,0.3,0.07622
83,0.55,0.3,0.07622
84,0.55,0.3,0.07622
85,0.55,0.3,0.07622
86,0.55,0.3,0.07622
87,0.55,0.3,0.07622
88,0.55,0.3,0.07622
89,0.55,0.3,0.07622
90,0.55,0.3,0.07622
91,0.55,0.3,0.07622
92,0.55,0.3,0.07622
93,0.55,0.3,0.07622
94,0.55,0.3,0.07622
95,0.55,0.3,0.07622
96,0.55,0.3,0.07622
97,0.55,0.3,0.07622
98,0.55,0.3,0.07622
99,0.55,0.3,0.07622
100,0.55,0.3,0.07622
