age_single_year,symptomatic_prob,IHR,IFR
0,0.05,0.0023,8.999999999999999e-5
1,0.05,0.0023,8.999999999999999e-5
2,0.05,0.0023,8.999999999999999e-5
3,0.05,0.0023,8.999999999999999e-5
4,0.05,0.0023,8.999999999999999e-5
5,0.06875,0.0025,0.0001
6,0.06875,0.0025,0.0001
7,0.06875,0.0025,0.0001
8,0.06875,0.0025,0.0001
9,0.06875,0.0025,0.0001
10,0.125,0.00077,3.0e-5
11,0.125,0.00077,3.0e-5
12,0.125,0.00077,3.0e-5
13,0.125,0.00077,3.0e-5
14,0.125,0.00077,3.0e-5
15,0.21875,0.00033,1.0e-5
16,0.21875,0.00033,1.0e-5
17,0.21875,0.00033,1.0e-5
18,0.21875,0.00033,1.0e-5
19,0.21875,0.00033,1.0e-5
20,0.35,0.00057,2.0e-5
21,0.35,0.00057,2.0e-5
22,0.35,0.00057,2.0e-5
23,0.35,0.00057,2.0e-5
24,0.35,0.00057,2.0e-5
25,0.35,0.0029,0.00013
26,0.35,0.0029,0.00013
27,0.35,0.0029,0.00013
28,0.35,0.0029,0.00013
29,0.35,0.0029,0.00013
30,0.35,0.004,0.0002
31,0.35,0.004,0.0002
32,0.35,0.004,0.0002
33,0.35,0.004,0.0002
34,0.35,0.004,0.0002
35,0.35,0.0057,0.00031
36,0.35,0.0057,0.00031
37,0.35,0.0057,0.00031
38,0.35,0.0057,0.00031
39,0.35,0.0057,0.00031
40,0.35,0.0092,0.00057
41,0.35,0.0092,0.00057
42,0.35,0.0092,0.00057
43,0.35,0.0092,0.00057
44,0.35,0.0092,0.00057
45,0.35,0.013999999999999999,0.00106
46,0.35,0.013999999999999999,0.00106
47,0.35,0.013999999999999999,0.00106
48,0.35,0.013999999999999999,0.00106
49,0.35,0.013999999999999999,0.00106
50,0.35,0.018000000000000002,0.00165
51,0.35,0.018000000000000002,0.00165
52,0.35,0.018000000000000002,0.00165
53,0.35,0.018000000000000002,0.00165
54,0.35,0.018000000000000002,0.00165
55,0.35,0.028999999999999998,0.00331
56,0.35,0.028999999999999998,0.00331
57,0.35,0.028999999999999998,0.00331
58,0.35,0.028999999999999998,0.00331
59,0.35,0.028999999999999998,0.00331
60,0.35,0.067,0.00939
61,0.35,0.067,0.00939
62,0.35,0.067,0.00939
63,0.35,0.067,0.00939
64,0.35,0.067,0.00939
65,0.35,0.079,0.01344
66,0.35,0.079,0.01344
67,0.35,0.079,0.01344
68,0.35,0.079,0.01344
69,0.35,0.079,0.01344
70,0.35,0.17,0.03359
71,0.35,0.17,0.03359
72,0.35,0.17,0.03359
73,0.35,0.17,0.03359
74,0.35,0.17,0.03359
75,0.35,0.3,0.06761
76,0.35,0.3,0.06761
77,0.35,0.3,0.06761
78,0.35,0.3,0.06761
79,0.35,0.3,0.06761
80,0.35,0.3,0.07622
81,0.35,0.3,0.07622
82,0.35,0.3,0.07622
83,0.35,0.3,0.07622
84,0.35,0.3,0.07622
85,0.35,0.3,0.07622
86,0.35,0.3,0.07622
87,0.35,0.3,0.07622
88,0.35,0.3,0.07622
89,0.35,0.3,0.07622
90,0.35,0.3,0.07622
91,0.35,0.3,0.07622
92,0.35,0.3,0.07622
93,0.35,0.3,0.07622
94,0.35,0.3,0.07622
95,0.35,0.3,0.07622
96,0.35,0.3,0.07622
97,0.35,0.3,0.07622
98,0.35,0.3,0.07622
99,0.35,0.3,0.07622
100,0.35,0.3,0.07622
