age_single_year,p_hosp_sympt,p_ICU_hosp,p_death_ICU,p_death_hosp_D,p_death_stepdown
0,0.013,0.018,0.015,0.015,0
1,0.0055,0.01,0.005,0.005,0
2,0.0055,0.01,0.005,0.005,0
3,0.0055,0.01,0.005,0.005,0
4,0.0055,0.01,0.005,0.005,0
5,0.0028,0.07,0.02,0.02,0
6,0.0028,0.07,0.02,0.02,0
7,0.0028,0.07,0.02,0.02,0
8,0.0028,0.07,0.02,0.02,0
9,0.0028,0.07,0.02,0.02,0
10,0.0028,0.07,0.02,0.02,0
11,0.0028,0.07,0.02,0.02,0
12,0.0028,0.07,0.02,0.02,0
13,0.0028,0.07,0.02,0.02,0
14,0.0028,0.07,0.02,0.02,0
15,0.0055,0.125,0.0175,0.0175,0
16,0.0055,0.125,0.0175,0.0175,0
17,0.0055,0.125,0.0175,0.0175,0
18,0.0055,0.125,0.0175,0.0175,0
19,0.0055,0.125,0.0175,0.0175,0
20,0.0055,0.125,0.0175,0.0175,0
21,0.0055,0.125,0.0175,0.0175,0
22,0.0055,0.125,0.0175,0.0175,0
23,0.0055,0.125,0.0175,0.0175,0
24,0.0055,0.125,0.0175,0.0175,0
25,0.0045,0.12,0.025,0.025,0
26,0.0045,0.12,0.025,0.025,0
27,0.0045,0.12,0.025,0.025,0
28,0.0045,0.12,0.025,0.025,0
29,0.0045,0.12,0.025,0.025,0
30,0.0045,0.12,0.025,0.025,0
31,0.0045,0.12,0.025,0.025,0
32,0.0045,0.12,0.025,0.025,0
33,0.0045,0.12,0.025,0.025,0
34,0.0045,0.12,0.025,0.025,0
35,0.0045,0.12,0.025,0.025,0
36,0.0045,0.12,0.025,0.025,0
37,0.0045,0.12,0.025,0.025,0
38,0.0045,0.12,0.025,0.025,0
39,0.0045,0.12,0.025,0.025,0
40,0.0045,0.12,0.025,0.025,0
41,0.0045,0.12,0.025,0.025,0
42,0.0045,0.12,0.025,0.025,0
43,0.0045,0.12,0.025,0.025,0
44,0.0045,0.12,0.025,0.025,0
45,0.0065,0.18,0.062,0.062,0
46,0.0065,0.18,0.062,0.062,0
47,0.0065,0.18,0.062,0.062,0
48,0.0065,0.18,0.062,0.062,0
49,0.0065,0.18,0.062,0.062,0
50,0.0065,0.18,0.062,0.062,0
51,0.0065,0.18,0.062,0.062,0
52,0.0065,0.18,0.062,0.062,0
53,0.0065,0.18,0.062,0.062,0
54,0.0065,0.18,0.062,0.062,0
55,0.0065,0.18,0.062,0.062,0
56,0.0065,0.18,0.062,0.062,0
57,0.0065,0.18,0.062,0.062,0
58,0.0065,0.18,0.062,0.062,0
59,0.0065,0.18,0.062,0.062,0
60,0.0065,0.18,0.062,0.062,0
61,0.0065,0.18,0.062,0.062,0
62,0.0065,0.18,0.062,0.062,0
63,0.0065,0.18,0.062,0.062,0
64,0.0065,0.18,0.062,0.062,0
65,0.015,0.035,0.17,0.17,0
66,0.015,0.035,0.17,0.17,0
67,0.015,0.035,0.17,0.17,0
68,0.015,0.035,0.17,0.17,0
69,0.015,0.035,0.17,0.17,0
70,0.015,0.035,0.17,0.17,0
71,0.015,0.035,0.17,0.17,0
72,0.015,0.035,0.17,0.17,0
73,0.015,0.035,0.17,0.17,0
74,0.015,0.035,0.17,0.17,0
75,0.015,0.035,0.17,0.17,0
76,0.015,0.035,0.17,0.17,0
77,0.015,0.035,0.17,0.17,0
78,0.015,0.035,0.17,0.17,0
79,0.015,0.035,0.17,0.17,0
80,0.015,0.035,0.17,0.17,0
81,0.015,0.035,0.17,0.17,0
82,0.015,0.035,0.17,0.17,0
83,0.015,0.035,0.17,0.17,0
84,0.015,0.035,0.17,0.17,0
85,0.015,0.035,0.17,0.17,0
86,0.015,0.035,0.17,0.17,0
87,0.015,0.035,0.17,0.17,0
88,0.015,0.035,0.17,0.17,0
89,0.015,0.035,0.17,0.17,0
90,0.015,0.035,0.17,0.17,0
91,0.015,0.035,0.17,0.17,0
92,0.015,0.035,0.17,0.17,0
93,0.015,0.035,0.17,0.17,0
94,0.015,0.035,0.17,0.17,0
95,0.015,0.035,0.17,0.17,0
96,0.015,0.035,0.17,0.17,0
97,0.015,0.035,0.17,0.17,0
98,0.015,0.035,0.17,0.17,0
99,0.015,0.035,0.17,0.17,0
100,0.015,0.035,0.17,0.17,0
