age_single_year,p_hosp_sympt,p_ICU_hosp,p_death_ICU,p_death_hosp_D,p_death_stepdown
0, 0.013000 , 0.018000 , 0.015000 , 0.015000 , -   
1, 0.005500 , 0.010000 , 0.005000 , 0.005000 , -   
2, 0.005500 , 0.010000 , 0.005000 , 0.005000 , -   
3, 0.005500 , 0.010000 , 0.005000 , 0.005000 , -   
4, 0.005500 , 0.010000 , 0.005000 , 0.005000 , -   
5, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
6, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
7, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
8, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
9, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
10, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
11, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
12, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
13, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
14, 0.002800 , 0.070000 , 0.020000 , 0.020000 , -   
15, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
16, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
17, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
18, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
19, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
20, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
21, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
22, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
23, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
24, 0.005500 , 0.125000 , 0.017500 , 0.017500 , -   
25, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
26, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
27, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
28, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
29, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
30, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
31, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
32, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
33, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
34, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
35, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
36, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
37, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
38, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
39, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
40, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
41, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
42, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
43, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
44, 0.004500 , 0.120000 , 0.025000 , 0.025000 , -   
45, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
46, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
47, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
48, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
49, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
50, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
51, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
52, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
53, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
54, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
55, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
56, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
57, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
58, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
59, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
60, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
61, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
62, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
63, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
64, 0.006500 , 0.180000 , 0.062000 , 0.062000 , -   
65, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
66, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
67, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
68, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
69, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
70, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
71, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
72, 0.015000 , 0.035000 , 0.170000 , 0.170000 , -   
