age_single_year,p_hosp_sympt,p_ICU_hosp,p_death_ICU,p_death_hosp_D,p_death_stepdown
0,0.05200,0.07200,0.06000,0.06000,0.00000
1,0.02200,0.04000,0.02000,0.02000,0.00000
2,0.02200,0.04000,0.02000,0.02000,0.00000
3,0.02200,0.04000,0.02000,0.02000,0.00000
4,0.02200,0.04000,0.02000,0.02000,0.00000
5,0.01120,0.28000,0.08000,0.08000,0.00000
6,0.01120,0.28000,0.08000,0.08000,0.00000
7,0.01120,0.28000,0.08000,0.08000,0.00000
8,0.01120,0.28000,0.08000,0.08000,0.00000
9,0.01120,0.28000,0.08000,0.08000,0.00000
10,0.01120,0.28000,0.08000,0.08000,0.00000
11,0.01120,0.28000,0.08000,0.08000,0.00000
12,0.01120,0.28000,0.08000,0.08000,0.00000
13,0.01120,0.28000,0.08000,0.08000,0.00000
14,0.01120,0.28000,0.08000,0.08000,0.00000
15,0.02200,0.50000,0.07000,0.07000,0.00000
16,0.02200,0.50000,0.07000,0.07000,0.00000
17,0.02200,0.50000,0.07000,0.07000,0.00000
18,0.02200,0.50000,0.07000,0.07000,0.00000
19,0.02200,0.50000,0.07000,0.07000,0.00000
20,0.02200,0.50000,0.07000,0.07000,0.00000
21,0.02200,0.50000,0.07000,0.07000,0.00000
22,0.02200,0.50000,0.07000,0.07000,0.00000
23,0.02200,0.50000,0.07000,0.07000,0.00000
24,0.02200,0.50000,0.07000,0.07000,0.00000
25,0.01800,0.48000,0.10000,0.10000,0.00000
26,0.01800,0.48000,0.10000,0.10000,0.00000
27,0.01800,0.48000,0.10000,0.10000,0.00000
28,0.01800,0.48000,0.10000,0.10000,0.00000
29,0.01800,0.48000,0.10000,0.10000,0.00000
30,0.01800,0.48000,0.10000,0.10000,0.00000
31,0.01800,0.48000,0.10000,0.10000,0.00000
32,0.01800,0.48000,0.10000,0.10000,0.00000
33,0.01800,0.48000,0.10000,0.10000,0.00000
34,0.01800,0.48000,0.10000,0.10000,0.00000
35,0.01800,0.48000,0.10000,0.10000,0.00000
36,0.01800,0.48000,0.10000,0.10000,0.00000
37,0.01800,0.48000,0.10000,0.10000,0.00000
38,0.01800,0.48000,0.10000,0.10000,0.00000
39,0.01800,0.48000,0.10000,0.10000,0.00000
40,0.01800,0.48000,0.10000,0.10000,0.00000
41,0.01800,0.48000,0.10000,0.10000,0.00000
42,0.01800,0.48000,0.10000,0.10000,0.00000
43,0.01800,0.48000,0.10000,0.10000,0.00000
44,0.01800,0.48000,0.10000,0.10000,0.00000
45,0.02600,0.72000,0.24800,0.24800,0.00000
46,0.02600,0.72000,0.24800,0.24800,0.00000
47,0.02600,0.72000,0.24800,0.24800,0.00000
48,0.02600,0.72000,0.24800,0.24800,0.00000
49,0.02600,0.72000,0.24800,0.24800,0.00000
50,0.02600,0.72000,0.24800,0.24800,0.00000
51,0.02600,0.72000,0.24800,0.24800,0.00000
52,0.02600,0.72000,0.24800,0.24800,0.00000
53,0.02600,0.72000,0.24800,0.24800,0.00000
54,0.02600,0.72000,0.24800,0.24800,0.00000
55,0.02600,0.72000,0.24800,0.24800,0.00000
56,0.02600,0.72000,0.24800,0.24800,0.00000
57,0.02600,0.72000,0.24800,0.24800,0.00000
58,0.02600,0.72000,0.24800,0.24800,0.00000
59,0.02600,0.72000,0.24800,0.24800,0.00000
60,0.02600,0.72000,0.24800,0.24800,0.00000
61,0.02600,0.72000,0.24800,0.24800,0.00000
62,0.02600,0.72000,0.24800,0.24800,0.00000
63,0.02600,0.72000,0.24800,0.24800,0.00000
64,0.02600,0.72000,0.24800,0.24800,0.00000
65,0.06000,0.14000,0.68000,0.68000,0.00000
66,0.06000,0.14000,0.68000,0.68000,0.00000
67,0.06000,0.14000,0.68000,0.68000,0.00000
68,0.06000,0.14000,0.68000,0.68000,0.00000
69,0.06000,0.14000,0.68000,0.68000,0.00000
70,0.06000,0.14000,0.68000,0.68000,0.00000
71,0.06000,0.14000,0.68000,0.68000,0.00000
72,0.06000,0.14000,0.68000,0.68000,0.00000
73,0.06000,0.14000,0.68000,0.68000,0.00000
74,0.06000,0.14000,0.68000,0.68000,0.00000
75,0.06000,0.14000,0.68000,0.68000,0.00000
76,0.06000,0.14000,0.68000,0.68000,0.00000
77,0.06000,0.14000,0.68000,0.68000,0.00000
78,0.06000,0.14000,0.68000,0.68000,0.00000
79,0.06000,0.14000,0.68000,0.68000,0.00000
80,0.06000,0.14000,0.68000,0.68000,0.00000
81,0.06000,0.14000,0.68000,0.68000,0.00000
82,0.06000,0.14000,0.68000,0.68000,0.00000
83,0.06000,0.14000,0.68000,0.68000,0.00000
84,0.06000,0.14000,0.68000,0.68000,0.00000
85,0.06000,0.14000,0.68000,0.68000,0.00000
86,0.06000,0.14000,0.68000,0.68000,0.00000
87,0.06000,0.14000,0.68000,0.68000,0.00000
88,0.06000,0.14000,0.68000,0.68000,0.00000
89,0.06000,0.14000,0.68000,0.68000,0.00000
90,0.06000,0.14000,0.68000,0.68000,0.00000
91,0.06000,0.14000,0.68000,0.68000,0.00000
92,0.06000,0.14000,0.68000,0.68000,0.00000
93,0.06000,0.14000,0.68000,0.68000,0.00000
94,0.06000,0.14000,0.68000,0.68000,0.00000
95,0.06000,0.14000,0.68000,0.68000,0.00000
96,0.06000,0.14000,0.68000,0.68000,0.00000
97,0.06000,0.14000,0.68000,0.68000,0.00000
98,0.06000,0.14000,0.68000,0.68000,0.00000
99,0.06000,0.14000,0.68000,0.68000,0.00000
100,0.06000,0.14000,0.68000,0.68000,0.00000
