age_single_year,symptomatic_prob,IHR,IFR
0,0.84,0.020833333,0.000154
1,0.84,0.0052,0.000154
2,0.84,0.0052,0.000154
3,0.84,0.0052,0.000154
4,0.84,0.0052,0.000154
5,0.84,0.0052,0.0000414
6,0.84,0.0052,0.0000414
7,0.84,0.0052,0.0000414
8,0.84,0.0052,0.0000414
9,0.84,0.0052,0.0000414
10,0.84,0.0052,0.0000414
11,0.84,0.0052,0.0000414
12,0.84,0.001590909,0.0000414
13,0.84,0.001590909,0.0000414
14,0.84,0.001590909,0.0000414
15,0.84,0.001590909,0.00007
16,0.84,0.001590909,0.00007
17,0.84,0.001590909,0.00007
18,0.83,0.001590909,0.000046
19,0.83,0.003581021,0.000046
20,0.83,0.003581021,0.000046
21,0.83,0.003581021,0.000046
22,0.83,0.003581021,0.000046
23,0.83,0.003581021,0.000046
24,0.83,0.003581021,0.000046
25,0.83,0.003581021,0.0000874
26,0.83,0.003581021,0.0000874
27,0.83,0.003581021,0.0000874
28,0.83,0.003581021,0.0000874
29,0.83,0.003581021,0.0000874
30,0.83,0.003581021,0.0000874
31,0.83,0.003581021,0.0000874
32,0.83,0.003581021,0.0000874
33,0.83,0.003581021,0.0000874
34,0.83,0.003581021,0.0000874
35,0.83,0.003581021,0.0000874
36,0.83,0.003581021,0.0000874
37,0.83,0.003581021,0.0000874
38,0.83,0.003581021,0.0000874
39,0.83,0.003581021,0.0000874
40,0.83,0.003581021,0.0000874
41,0.83,0.003581021,0.0000874
42,0.83,0.003581021,0.0000874
43,0.83,0.003581021,0.0000874
44,0.83,0.003581021,0.0000874
45,0.83,0.003581021,0.0001288
46,0.83,0.003581021,0.0001288
47,0.83,0.003581021,0.0001288
48,0.83,0.003581021,0.0001288
49,0.83,0.003581021,0.0001288
50,0.87,0.010471204,0.0001456
51,0.87,0.010471204,0.0001456
52,0.87,0.010471204,0.0001456
53,0.87,0.010471204,0.0001456
54,0.87,0.010471204,0.0001456
55,0.87,0.010471204,0.0001456
56,0.87,0.010471204,0.0001456
57,0.87,0.010471204,0.0001456
58,0.87,0.010471204,0.0001456
59,0.87,0.010471204,0.0001456
60,0.87,0.010471204,0.0001456
61,0.87,0.010471204,0.0001456
62,0.87,0.010471204,0.0001456
63,0.87,0.010471204,0.0001456
64,0.87,0.010471204,0.0001456
65,0.87,0.020754717,0.002132
66,0.87,0.020754717,0.002132
67,0.87,0.020754717,0.002132
68,0.87,0.020754717,0.002132
69,0.87,0.020754717,0.002132
70,0.87,0.020754717,0.002132
71,0.87,0.020754717,0.002132
72,0.87,0.020754717,0.002132
73,0.87,0.020754717,0.002132
74,0.87,0.020754717,0.002132
75,0.87,0.020754717,0.002132
76,0.87,0.020754717,0.002132
77,0.87,0.020754717,0.002132
78,0.87,0.020754717,0.002132
79,0.87,0.020754717,0.002132
80,0.87,0.020754717,0.002132
81,0.87,0.020754717,0.002132
82,0.87,0.020754717,0.002132
83,0.87,0.020754717,0.002132
84,0.87,0.020754717,0.002132
85,0.87,0.020754717,0.002132
86,0.87,0.020754717,0.002132
87,0.87,0.020754717,0.002132
88,0.87,0.020754717,0.002132
89,0.87,0.020754717,0.002132
90,0.87,0.020754717,0.002132
91,0.87,0.020754717,0.002132
92,0.87,0.020754717,0.002132
93,0.87,0.020754717,0.002132
94,0.87,0.020754717,0.002132
95,0.87,0.020754717,0.002132
96,0.87,0.020754717,0.002132
97,0.87,0.020754717,0.002132
98,0.87,0.020754717,0.002132
99,0.87,0.020754717,0.002132
100,0.87,0.020754717,0.002132
