age_single_year,symptomatic_prob,IHR,IFR
0,0.84,0.0208333,0.0003143
1,0.84,0.0052144,0.0003143
2,0.84,0.0052144,0.0003143
3,0.84,0.0052144,0.0003143
4,0.84,0.0052144,0.0003143
5,0.84,0.0052144,0.0001286
6,0.84,0.0052144,0.0001286
7,0.84,0.0052144,0.0001286
8,0.84,0.0052144,0.0001286
9,0.84,0.0052144,0.0001286
10,0.84,0.0052144,0.0001286
11,0.84,0.0052144,0.0001286
12,0.84,0.0015909,0.0001286
13,0.84,0.0015909,0.0001286
14,0.84,0.0015909,0.0001286
15,0.84,0.0015909,0.0001429
16,0.84,0.0015909,0.0001429
17,0.84,0.0015909,0.0001429
18,0.83,0.0015909,0.0002174
19,0.83,0.003581,0.0002174
20,0.83,0.003581,0.0002174
21,0.83,0.003581,0.0002174
22,0.83,0.003581,0.0002174
23,0.83,0.003581,0.0002174
24,0.83,0.003581,0.0002174
25,0.83,0.003581,0.000413
26,0.83,0.003581,0.000413
27,0.83,0.003581,0.000413
28,0.83,0.003581,0.000413
29,0.83,0.003581,0.000413
30,0.83,0.003581,0.000413
31,0.83,0.003581,0.000413
32,0.83,0.003581,0.000413
33,0.83,0.003581,0.000413
34,0.83,0.003581,0.000413
35,0.83,0.003581,0.000413
36,0.83,0.003581,0.000413
37,0.83,0.003581,0.000413
38,0.83,0.003581,0.000413
39,0.83,0.003581,0.000413
40,0.83,0.003581,0.000413
41,0.83,0.003581,0.000413
42,0.83,0.003581,0.000413
43,0.83,0.003581,0.000413
44,0.83,0.003581,0.000413
45,0.83,0.003581,0.0006087
46,0.83,0.003581,0.0006087
47,0.83,0.003581,0.0006087
48,0.83,0.003581,0.0006087
49,0.83,0.003581,0.0006087
50,0.87,0.0104712,0.0005385
51,0.87,0.0104712,0.0005385
52,0.87,0.0104712,0.0005385
53,0.87,0.0104712,0.0005385
54,0.87,0.0104712,0.0005385
55,0.87,0.0104712,0.0005385
56,0.87,0.0104712,0.0005385
57,0.87,0.0104712,0.0005385
58,0.87,0.0104712,0.0005385
59,0.87,0.0104712,0.0005385
60,0.87,0.0104712,0.0005385
61,0.87,0.0104712,0.0005385
62,0.87,0.0104712,0.0005385
63,0.87,0.0104712,0.0005385
64,0.87,0.0104712,0.0005385
65,0.87,0.0207547,0.0078846
66,0.87,0.0207547,0.0078846
67,0.87,0.0207547,0.0078846
68,0.87,0.0207547,0.0078846
69,0.87,0.0207547,0.0078846
70,0.87,0.0207547,0.0078846
71,0.87,0.0207547,0.0078846
72,0.87,0.0207547,0.0078846
73,0.87,0.0207547,0.0078846
74,0.87,0.0207547,0.0078846
75,0.87,0.0207547,0.0078846
76,0.87,0.0207547,0.0078846
77,0.87,0.0207547,0.0078846
78,0.87,0.0207547,0.0078846
79,0.87,0.0207547,0.0078846
80,0.87,0.0207547,0.0078846
81,0.87,0.0207547,0.0078846
82,0.87,0.0207547,0.0078846
83,0.87,0.0207547,0.0078846
84,0.87,0.0207547,0.0078846
85,0.87,0.0207547,0.0078846
86,0.87,0.0207547,0.0078846
87,0.87,0.0207547,0.0078846
88,0.87,0.0207547,0.0078846
89,0.87,0.0207547,0.0078846
90,0.87,0.0207547,0.0078846
91,0.87,0.0207547,0.0078846
92,0.87,0.0207547,0.0078846
93,0.87,0.0207547,0.0078846
94,0.87,0.0207547,0.0078846
95,0.87,0.0207547,0.0078846
96,0.87,0.0207547,0.0078846
97,0.87,0.0207547,0.0078846
98,0.87,0.0207547,0.0078846
99,0.87,0.0207547,0.0078846
100,0.87,0.0207547,0.0078846
