age_single_year,symptomatic_prob,IHR,IFR
0,0.8400000,0.0833332,0.0012572
1,0.8400000,0.0208576,0.0012572
2,0.8400000,0.0208576,0.0012572
3,0.8400000,0.0208576,0.0012572
4,0.8400000,0.0208576,0.0012572
5,0.8400000,0.0208576,0.0005144
6,0.8400000,0.0208576,0.0005144
7,0.8400000,0.0208576,0.0005144
8,0.8400000,0.0208576,0.0005144
9,0.8400000,0.0208576,0.0005144
10,0.8400000,0.0208576,0.0005144
11,0.8400000,0.0208576,0.0005144
12,0.8400000,0.0063636,0.0005144
13,0.8400000,0.0063636,0.0005144
14,0.8400000,0.0063636,0.0005144
15,0.8400000,0.0063636,0.0005716
16,0.8400000,0.0063636,0.0005716
17,0.8400000,0.0063636,0.0005716
18,0.8300000,0.0063636,0.0008696
19,0.8300000,0.0143240,0.0008696
20,0.8300000,0.0143240,0.0008696
21,0.8300000,0.0143240,0.0008696
22,0.8300000,0.0143240,0.0008696
23,0.8300000,0.0143240,0.0008696
24,0.8300000,0.0143240,0.0008696
25,0.8300000,0.0143240,0.0016520
26,0.8300000,0.0143240,0.0016520
27,0.8300000,0.0143240,0.0016520
28,0.8300000,0.0143240,0.0016520
29,0.8300000,0.0143240,0.0016520
30,0.8300000,0.0143240,0.0016520
31,0.8300000,0.0143240,0.0016520
32,0.8300000,0.0143240,0.0016520
33,0.8300000,0.0143240,0.0016520
34,0.8300000,0.0143240,0.0016520
35,0.8300000,0.0143240,0.0016520
36,0.8300000,0.0143240,0.0016520
37,0.8300000,0.0143240,0.0016520
38,0.8300000,0.0143240,0.0016520
39,0.8300000,0.0143240,0.0016520
40,0.8300000,0.0143240,0.0016520
41,0.8300000,0.0143240,0.0016520
42,0.8300000,0.0143240,0.0016520
43,0.8300000,0.0143240,0.0016520
44,0.8300000,0.0143240,0.0016520
45,0.8300000,0.0143240,0.0024348
46,0.8300000,0.0143240,0.0024348
47,0.8300000,0.0143240,0.0024348
48,0.8300000,0.0143240,0.0024348
49,0.8300000,0.0143240,0.0024348
50,0.8700000,0.0418848,0.0021540
51,0.8700000,0.0418848,0.0021540
52,0.8700000,0.0418848,0.0021540
53,0.8700000,0.0418848,0.0021540
54,0.8700000,0.0418848,0.0021540
55,0.8700000,0.0418848,0.0021540
56,0.8700000,0.0418848,0.0021540
57,0.8700000,0.0418848,0.0021540
58,0.8700000,0.0418848,0.0021540
59,0.8700000,0.0418848,0.0021540
60,0.8700000,0.0418848,0.0021540
61,0.8700000,0.0418848,0.0021540
62,0.8700000,0.0418848,0.0021540
63,0.8700000,0.0418848,0.0021540
64,0.8700000,0.0418848,0.0021540
65,0.8700000,0.0830188,0.0315384
66,0.8700000,0.0830188,0.0315384
67,0.8700000,0.0830188,0.0315384
68,0.8700000,0.0830188,0.0315384
69,0.8700000,0.0830188,0.0315384
70,0.8700000,0.0830188,0.0315384
71,0.8700000,0.0830188,0.0315384
72,0.8700000,0.0830188,0.0315384
73,0.8700000,0.0830188,0.0315384
74,0.8700000,0.0830188,0.0315384
75,0.8700000,0.0830188,0.0315384
76,0.8700000,0.0830188,0.0315384
77,0.8700000,0.0830188,0.0315384
78,0.8700000,0.0830188,0.0315384
79,0.8700000,0.0830188,0.0315384
80,0.8700000,0.0830188,0.0315384
81,0.8700000,0.0830188,0.0315384
82,0.8700000,0.0830188,0.0315384
83,0.8700000,0.0830188,0.0315384
84,0.8700000,0.0830188,0.0315384
85,0.8700000,0.0830188,0.0315384
86,0.8700000,0.0830188,0.0315384
87,0.8700000,0.0830188,0.0315384
88,0.8700000,0.0830188,0.0315384
89,0.8700000,0.0830188,0.0315384
90,0.8700000,0.0830188,0.0315384
91,0.8700000,0.0830188,0.0315384
92,0.8700000,0.0830188,0.0315384
93,0.8700000,0.0830188,0.0315384
94,0.8700000,0.0830188,0.0315384
95,0.8700000,0.0830188,0.0315384
96,0.8700000,0.0830188,0.0315384
97,0.8700000,0.0830188,0.0315384
98,0.8700000,0.0830188,0.0315384
99,0.8700000,0.0830188,0.0315384
100,0.8700000,0.0830188,0.0315384
