"ITL2_code","ITL2_name","treport_median_fit","block_membership","sites_allocated_to_region","sites_allocated_to_block","current_region_site_limit","current_block_site_limit","sites_allocated"
"TLI7","Outer London - West and North West",45.7965569631148,18,1,1,1,1,1
"TLJ2","Surrey, East and West Sussex",46.5866699177022,4,1,2,1,4,1
"TLD3","Greater Manchester",47.1554791815458,4,1,2,1,4,1
"TLG3","West Midlands",48.1110852942551,13,1,1,1,1,1
"TLH2","Bedfordshire and Hertfordshire",48.6276254762105,2,1,2,1,2,1
"TLH3","Essex",48.7133028825966,7,1,2,1,5,1
"TLJ1","Berkshire, Buckinghamshire and Oxfordshire",48.9858667181979,11,1,2,1,2,1
"TLI4","Inner London - East",49.5183646205004,7,1,2,1,5,1
"TLE4","West Yorkshire",49.644875423627,9,1,2,1,3,1
"TLI5","Outer London - East and North East",50.3071712904987,17,1,1,1,2,1
"TLF1","Derbyshire and Nottinghamshire",50.5996355644858,10,1,1,1,1,1
"TLC4","Northumberland, Durham and Tyne & Wear",50.6651986839402,2,1,2,1,2,1
"TLF2","Leicestershire, Rutland and Northamptonshire",50.7325198842231,11,1,2,1,2,1
"TLJ3","Hampshire and Isle of Wight",50.8147506457843,19,1,1,1,1,1
"TLJ4","Kent",51.4608288217055,4,0,2,1,4,0
"TLK6","North Somerset, Somerset and Dorset",51.5528060400452,7,0,2,1,5,0
"TLD7","Merseyside",51.5960436589486,7,0,2,1,5,0
"TLG2","Shropshire and Staffordshire",51.8814139592925,8,1,1,1,2,1
"TLD4","Lancashire",52.4588026307178,5,1,2,1,2,1
"TLI6","Outer London - South",52.6823291957235,4,0,2,1,4,0
"TLG1","Herefordshire, Worcestershire and Warwickshire",53.2938251771047,9,1,2,1,3,1
"TLK7","Gloucestershire and Wiltshire",53.4519882565928,16,1,1,1,2,1
"TLE3","South Yorkshire",53.6892434121279,5,1,2,1,2,1
"TLK4","Devon",54.1056618415864,7,0,2,1,5,0
"TLI3","Inner London - West",54.8594623324894,17,0,1,1,2,0
"TLD6","Cheshire",54.8858896077765,6,1,1,1,1,1
"TLH5","Norfolk",55.6746500681382,15,1,1,1,2,1
"TLK5","West of England",55.8326918822739,15,0,1,1,2,0
"TLE1","East Yorkshire and Northern Lincolnshire",55.9644835909296,8,0,1,1,2,0
"TLH4","Cambridgeshire and Peterborough",56.6619487122622,14,1,1,1,1,1
"TLF3","Lincolnshire",56.7870312509222,12,1,1,1,1,1
"TLH6","Suffolk",57.1289412595248,16,0,1,1,2,0
"TLE2","North Yorkshire",57.6325921697542,9,0,2,1,3,0
"TLC3","Tees Valley",58.0549403800674,1,1,1,1,1,1
"TLK3","Cornwall and Isles of Scilly",58.9781662399563,20,1,1,1,1,1
"TLD1","Cumbria",60.2752756756508,3,1,1,1,1,1
