sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,68.51439833392712,82.07891523029717,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
2.0,32.295140651619306,48.76450660823844,Inf,Inf,61.63226262334016,Inf,65.44002504533117,Inf,Inf,Inf,Inf,Inf,32.295140651619306,48.76450660823844,32.295140651619306,48.76450660823844,Inf,Inf
3.0,35.808557502245044,48.070879771631525,Inf,Inf,62.16478785831242,Inf,66.81778740392582,Inf,Inf,Inf,Inf,Inf,35.808557502245044,48.070879771631525,35.808557502245044,48.070879771631525,Inf,Inf
4.0,53.35993034196611,58.496664289505894,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
5.0,38.632710423233014,59.44022759833393,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6.0,53.28723655873268,63.95212297291995,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7.0,49.47515310306485,53.83548460192373,Inf,Inf,65.51249347515855,Inf,Inf,Inf,Inf,Inf,Inf,Inf,49.47515310306485,53.83548460192373,Inf,Inf,Inf,Inf
8.0,28.179124738985113,55.35125223187498,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
9.0,24.85448347839852,49.47713529514794,63.2897321372825,Inf,75.27302952839614,Inf,Inf,Inf,Inf,Inf,24.85448347839852,49.47713529514794,24.85448347839852,49.47713529514794,Inf,Inf,Inf,Inf
10.0,45.33969103907678,55.725029283701815,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
11.0,24.510794896313435,38.2946466853331,Inf,Inf,59.05123590989454,Inf,Inf,Inf,Inf,Inf,Inf,Inf,24.510794896313435,38.2946466853331,Inf,Inf,Inf,Inf
12.0,48.72584270108309,56.533013191667465,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
13.0,82.6852199498687,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
14.0,38.44038022038963,55.041005060166725,Inf,Inf,Inf,Inf,Inf,Inf,67.56551399261001,Inf,Inf,Inf,Inf,Inf,Inf,Inf,38.44038022038963,55.041005060166725
15.0,70.62647562303978,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
16.0,33.39342417200896,44.4121952092312,63.30848985031138,Inf,Inf,Inf,Inf,Inf,Inf,Inf,33.39342417200896,44.4121952092312,Inf,Inf,Inf,Inf,Inf,Inf
17.0,54.83408087884409,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
