sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,72.49647308629997,86.94137586322388,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
2.0,42.36877106075735,47.85165133316356,67.1395462912826,Inf,Inf,Inf,59.4602690295228,Inf,50.88902376217727,68.82327352689582,42.36877106075735,47.85165133316356,Inf,Inf,42.36877106075735,47.85165133316356,42.36877106075735,47.85165133316356
3.0,50.98412710907379,55.60568630933591,58.97155831138387,Inf,73.88496985590538,Inf,Inf,Inf,67.22958668590665,Inf,50.98412710907379,55.60568630933591,50.98412710907379,55.60568630933591,Inf,Inf,50.98412710907379,55.60568630933591
4.0,55.65925793697429,64.45918127460112,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
5.0,27.271598792338043,43.24160787190442,Inf,Inf,Inf,Inf,Inf,Inf,58.2571725680995,Inf,Inf,Inf,Inf,Inf,Inf,Inf,27.271598792338043,43.24160787190442
6.0,64.88054230235878,75.83502481168941,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7.0,55.06128810683374,56.72315676248463,62.78079835645963,Inf,Inf,Inf,Inf,Inf,65.18376168296084,Inf,55.06128810683374,56.72315676248463,Inf,Inf,Inf,Inf,55.06128810683374,56.72315676248463
8.0,45.22126871857997,60.80877130439945,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
9.0,43.071115684148886,53.48412301272683,66.06281402423143,Inf,Inf,Inf,Inf,Inf,Inf,Inf,43.071115684148886,53.48412301272683,Inf,Inf,Inf,Inf,Inf,Inf
10.0,41.35993943817429,49.353375596357154,Inf,Inf,73.00535824327794,Inf,Inf,Inf,Inf,Inf,Inf,Inf,41.35993943817429,49.353375596357154,Inf,Inf,Inf,Inf
11.0,37.30724650903827,44.46579333006994,Inf,Inf,69.24347040185934,Inf,Inf,Inf,59.647650305678866,Inf,Inf,Inf,37.30724650903827,44.46579333006994,Inf,Inf,37.30724650903827,44.46579333006994
12.0,35.993988955376736,57.1195976508616,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
13.0,69.45000342133581,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
14.0,40.62663952628835,49.44767297075945,Inf,Inf,Inf,Inf,Inf,Inf,61.31324355884447,Inf,Inf,Inf,Inf,Inf,Inf,Inf,40.62663952628835,49.44767297075945
15.0,72.16218157360062,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
16.0,32.13189783409613,43.196498123577925,62.958175355697875,Inf,56.03494594007802,Inf,64.6779711123243,Inf,67.37084979689402,Inf,32.13189783409613,43.196498123577925,32.13189783409613,43.196498123577925,32.13189783409613,43.196498123577925,32.13189783409613,43.196498123577925
17.0,68.96343860688249,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
18.0,59.61079638901121,67.04120182537956,Inf,Inf,Inf,Inf,Inf,Inf,64.47908717054656,Inf,Inf,Inf,Inf,Inf,Inf,Inf,59.61079638901121,64.47908717054656
19.0,47.13244393090356,55.321905537643914,Inf,Inf,Inf,Inf,65.44276692299567,Inf,Inf,Inf,Inf,Inf,Inf,Inf,47.13244393090356,55.321905537643914,Inf,Inf
20.0,39.411857109529514,46.43327319027901,45.97516363109886,51.00559202761961,63.26189756007889,72.44106211018052,Inf,Inf,67.9086338209027,Inf,39.411857109529514,45.97516363109886,39.411857109529514,45.97516363109886,Inf,Inf,39.411857109529514,45.97516363109886
21.0,41.870091840337,45.236273222349595,61.22373006451306,Inf,61.06089391995227,Inf,Inf,Inf,Inf,Inf,41.870091840337,45.236273222349595,41.870091840337,45.236273222349595,Inf,Inf,Inf,Inf
22.0,36.59128609411706,44.35721195125732,67.15816235835045,Inf,51.75644476172411,Inf,Inf,Inf,65.20140766485211,Inf,36.59128609411706,44.35721195125732,36.59128609411706,44.35721195125732,Inf,Inf,36.59128609411706,44.35721195125732
23.0,69.45235504631736,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
24.0,40.00574890549072,41.9763647123142,67.9750698571236,Inf,58.91239597228543,Inf,65.32759161875501,Inf,53.86555382597527,Inf,40.00574890549072,41.9763647123142,40.00574890549072,41.9763647123142,40.00574890549072,41.9763647123142,40.00574890549072,41.9763647123142
25.0,57.868795758366346,74.40861827577862,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
26.0,45.70268519243203,50.82869727309992,Inf,Inf,58.563664041256,Inf,65.81494069424257,Inf,59.3781722131692,Inf,Inf,Inf,45.70268519243203,50.82869727309992,45.70268519243203,50.82869727309992,45.70268519243203,50.82869727309992
27.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
28.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
29.0,54.78603447650472,62.07166133121892,Inf,Inf,Inf,Inf,Inf,Inf,64.59694110944534,Inf,Inf,Inf,Inf,Inf,Inf,Inf,54.78603447650472,62.07166133121892
30.0,39.76226125869365,49.33302227135873,Inf,Inf,Inf,Inf,Inf,Inf,56.92339423796409,Inf,Inf,Inf,Inf,Inf,Inf,Inf,39.76226125869365,49.33302227135873
31.0,28.178750326125183,46.89047414645872,68.01113526436548,Inf,Inf,Inf,Inf,Inf,Inf,Inf,28.178750326125183,46.89047414645872,Inf,Inf,Inf,Inf,Inf,Inf
32.0,40.52297107082992,44.33827584134708,63.01457455679345,Inf,Inf,Inf,62.42402893390086,Inf,57.50272693173722,Inf,40.52297107082992,44.33827584134708,Inf,Inf,40.52297107082992,44.33827584134708,40.52297107082992,44.33827584134708
33.0,49.75145744570149,51.88512444595395,Inf,Inf,Inf,Inf,63.12890874372628,Inf,Inf,Inf,Inf,Inf,Inf,Inf,49.75145744570149,51.88512444595395,Inf,Inf
