sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,75.36870925325164,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,75.36870925325164,Inf,75.36870925325164,Inf,75.36870925325164,Inf,75.36870925325164,Inf
2.0,39.330802510790456,49.0457105931832,Inf,Inf,61.21660249669986,Inf,Inf,Inf,59.68091558548721,Inf,39.330802510790456,49.0457105931832,39.330802510790456,49.0457105931832,39.330802510790456,49.0457105931832,39.330802510790456,49.0457105931832
3.0,44.13589269660748,49.815911491254944,55.74512259432749,Inf,Inf,Inf,Inf,Inf,Inf,Inf,44.13589269660748,49.815911491254944,44.13589269660748,49.815911491254944,44.13589269660748,49.815911491254944,44.13589269660748,49.815911491254944
4.0,48.96843801563447,58.59551302849703,Inf,Inf,Inf,Inf,54.43802655344893,Inf,Inf,Inf,48.96843801563447,58.59551302849703,48.96843801563447,58.59551302849703,48.96843801563447,54.43802655344893,48.96843801563447,58.59551302849703
5.0,21.3606832291072,40.85617571172193,Inf,Inf,Inf,Inf,65.37004872022354,Inf,Inf,Inf,21.3606832291072,40.85617571172193,21.3606832291072,40.85617571172193,21.3606832291072,40.85617571172193,21.3606832291072,40.85617571172193
6.0,51.2786612222631,62.92034934101421,Inf,Inf,Inf,Inf,Inf,Inf,61.205275326590126,Inf,51.2786612222631,62.92034934101421,51.2786612222631,62.92034934101421,51.2786612222631,62.92034934101421,51.2786612222631,61.205275326590126
7.0,47.73805753413796,50.06826859660236,Inf,Inf,Inf,Inf,Inf,Inf,36.21599376223514,Inf,47.73805753413796,50.06826859660236,47.73805753413796,50.06826859660236,47.73805753413796,50.06826859660236,36.21599376223514,49.786984714588556
8.0,38.10657671861712,59.29474673188583,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,38.10657671861712,59.29474673188583,38.10657671861712,59.29474673188583,38.10657671861712,59.29474673188583,38.10657671861712,59.29474673188583
9.0,38.321915162549125,40.93765405797733,34.45844348517214,Inf,Inf,Inf,64.8991121668817,Inf,58.62500387833208,Inf,34.45844348517214,40.28061429379978,38.321915162549125,40.93765405797733,34.45844348517214,40.28061429379978,34.45844348517214,40.28061429379978
10.0,52.463207262790434,57.36466323931505,61.655258908115094,Inf,Inf,Inf,Inf,Inf,Inf,Inf,52.463207262790434,57.36466323931505,52.463207262790434,57.36466323931505,52.463207262790434,57.36466323931505,52.463207262790434,57.36466323931505
11.0,27.930195641065104,46.85774008128799,62.40423086187498,Inf,57.94570113575742,Inf,Inf,Inf,67.47614343058058,Inf,27.930195641065104,46.85774008128799,27.930195641065104,46.85774008128799,27.930195641065104,46.85774008128799,27.930195641065104,46.85774008128799
12.0,58.10411609988014,67.4249767686326,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,58.10411609988014,67.4249767686326,58.10411609988014,67.4249767686326,58.10411609988014,67.4249767686326,58.10411609988014,67.4249767686326
13.0,70.32071393455682,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,70.32071393455682,Inf,70.32071393455682,Inf,70.32071393455682,Inf,70.32071393455682,Inf
14.0,39.92776861401921,51.482975894324134,Inf,Inf,Inf,Inf,Inf,Inf,56.3930095905327,Inf,39.92776861401921,51.482975894324134,39.92776861401921,51.482975894324134,39.92776861401921,51.482975894324134,39.92776861401921,51.482975894324134
15.0,87.10010675329313,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,87.10010675329313,Inf,87.10010675329313,Inf,87.10010675329313,Inf,87.10010675329313,Inf
16.0,34.23388103734268,42.58437857322925,52.12970209434849,Inf,42.19875137059949,Inf,55.484656567329196,Inf,48.77140745736081,67.30073695519356,34.23388103734268,42.58437857322925,34.23388103734268,42.19875137059949,34.23388103734268,42.19875137059949,34.23388103734268,42.19875137059949
17.0,59.725381265669114,67.96460918688935,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,59.725381265669114,67.96460918688935,59.725381265669114,67.96460918688935,59.725381265669114,67.96460918688935,59.725381265669114,67.96460918688935
18.0,63.230289507421794,65.43472962349182,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,63.230289507421794,65.43472962349182,63.230289507421794,65.43472962349182,63.230289507421794,65.43472962349182,63.230289507421794,65.43472962349182
19.0,46.85215800464872,52.717893790729676,Inf,Inf,58.87870057877859,Inf,67.87827120414835,Inf,59.15816237774045,Inf,46.85215800464872,52.717893790729676,46.85215800464872,52.717893790729676,46.85215800464872,52.717893790729676,46.85215800464872,52.717893790729676
20.0,37.12191506149054,46.705492390355566,73.52509158404064,Inf,57.02333549201511,63.165768127928146,61.86293350785395,66.10537647802471,45.9551915948577,65.53079627867633,37.12191506149054,46.705492390355566,37.12191506149054,46.705492390355566,37.12191506149054,46.705492390355566,37.12191506149054,46.63555232966842
21.0,44.854906235889196,47.58919658180046,66.30410767606217,Inf,61.06657209913949,Inf,Inf,Inf,Inf,Inf,44.854906235889196,47.58919658180046,44.854906235889196,47.58919658180046,44.854906235889196,47.58919658180046,44.854906235889196,47.58919658180046
22.0,46.79785776392445,49.96438872151186,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,46.79785776392445,49.96438872151186,46.79785776392445,49.96438872151186,46.79785776392445,49.96438872151186,46.79785776392445,49.96438872151186
23.0,74.51969661076085,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,74.51969661076085,Inf,74.51969661076085,Inf,74.51969661076085,Inf,74.51969661076085,Inf
24.0,45.184502508110064,48.78407866974706,67.27762916999592,Inf,Inf,Inf,Inf,Inf,63.609440736671495,71.68895723754395,45.184502508110064,48.78407866974706,45.184502508110064,48.78407866974706,45.184502508110064,48.78407866974706,45.184502508110064,48.78407866974706
25.0,51.52181405044924,58.134342209240316,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,51.52181405044924,58.134342209240316,51.52181405044924,58.134342209240316,51.52181405044924,58.134342209240316,51.52181405044924,58.134342209240316
26.0,35.693452182632534,50.65982642294716,70.95499253921942,Inf,55.33574776257079,64.40608613574658,54.71813773608281,Inf,65.65447117049966,66.63228123048374,35.693452182632534,50.65982642294716,35.693452182632534,50.65982642294716,35.693452182632534,50.65982642294716,35.693452182632534,50.65982642294716
27.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
28.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
29.0,59.52358049701756,63.005060979377774,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,59.52358049701756,63.005060979377774,59.52358049701756,63.005060979377774,59.52358049701756,63.005060979377774,59.52358049701756,63.005060979377774
30.0,46.68289636248523,50.06366858070504,Inf,Inf,64.61169743813123,Inf,Inf,Inf,Inf,Inf,46.68289636248523,50.06366858070504,46.68289636248523,50.06366858070504,46.68289636248523,50.06366858070504,46.68289636248523,50.06366858070504
31.0,48.49925451768331,55.08020748654846,65.00792115334289,Inf,Inf,Inf,69.76417959384469,Inf,Inf,Inf,48.49925451768331,55.08020748654846,48.49925451768331,55.08020748654846,48.49925451768331,55.08020748654846,48.49925451768331,55.08020748654846
