sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,57.218413688944864,Inf,47.72453278053179,48.78320015748449,Inf,Inf,Inf,Inf,Inf,Inf,47.72453278053179,48.78320015748449,Inf,Inf,Inf,Inf,Inf,Inf
2.0,49.744807054431504,51.956229285391515,16.36360660334601,19.30018708408688,Inf,Inf,Inf,Inf,Inf,Inf,16.36360660334601,19.30018708408688,Inf,Inf,Inf,Inf,Inf,Inf
3.0,45.55002223426354,52.72457500675914,33.867605834732764,35.425938477512474,Inf,Inf,Inf,Inf,Inf,Inf,33.867605834732764,35.425938477512474,Inf,Inf,Inf,Inf,Inf,Inf
4.0,54.47016081975286,61.757806993122955,36.118508146650385,40.05341238369658,Inf,Inf,Inf,Inf,Inf,Inf,36.118508146650385,40.05341238369658,Inf,Inf,Inf,Inf,Inf,Inf
5.0,24.98860067979785,52.877652626296246,16.152061050184408,27.801354774674333,Inf,Inf,Inf,Inf,Inf,Inf,16.152061050184408,24.98860067979785,Inf,Inf,Inf,Inf,Inf,Inf
6.0,57.84496353819433,60.65681678868259,26.335318825490138,35.40948386168009,Inf,Inf,Inf,Inf,Inf,Inf,26.335318825490138,35.40948386168009,Inf,Inf,Inf,Inf,Inf,Inf
7.0,48.535506668490214,51.570372750077965,9.453610460487601,29.233693323242743,Inf,Inf,Inf,Inf,Inf,Inf,9.453610460487601,29.233693323242743,Inf,Inf,Inf,Inf,Inf,Inf
8.0,33.97995796588401,47.11434600471446,17.81176083704428,31.688378549537926,Inf,Inf,Inf,Inf,Inf,Inf,17.81176083704428,31.688378549537926,Inf,Inf,Inf,Inf,Inf,Inf
9.0,39.54959890217608,50.98877717682216,14.673501132523874,28.783329803193965,Inf,Inf,Inf,Inf,Inf,Inf,14.673501132523874,28.783329803193965,Inf,Inf,Inf,Inf,Inf,Inf
10.0,50.391111475459674,57.896664026063206,28.02055547573861,39.44679665364246,Inf,Inf,Inf,Inf,Inf,Inf,28.02055547573861,39.44679665364246,Inf,Inf,Inf,Inf,Inf,Inf
