sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,55.32512174376935,82.35139642093719,42.62538619267202,52.591626692595646,Inf,Inf,Inf,Inf,Inf,Inf,42.62538619267202,52.591626692595646,Inf,Inf,Inf,Inf,Inf,Inf
2.0,41.57631344201716,44.54227488739786,13.593606313409516,29.90325024871321,Inf,Inf,Inf,Inf,Inf,Inf,13.593606313409516,29.90325024871321,Inf,Inf,Inf,Inf,Inf,Inf
3.0,36.66941442330026,46.0032459524994,17.02684921401044,29.790629027326112,Inf,Inf,Inf,Inf,Inf,Inf,17.02684921401044,29.790629027326112,Inf,Inf,Inf,Inf,Inf,Inf
4.0,47.77180877314796,51.49570063604859,38.74619700177376,45.80491339259989,Inf,Inf,Inf,Inf,Inf,Inf,38.74619700177376,45.80491339259989,Inf,Inf,Inf,Inf,Inf,Inf
5.0,29.304930042297364,35.73947600331132,25.936616722831765,27.45266445276684,Inf,Inf,Inf,Inf,Inf,Inf,25.936616722831765,27.45266445276684,Inf,Inf,Inf,Inf,Inf,Inf
6.0,46.42630906119266,61.16197431640075,27.2915099388796,38.6046301642031,Inf,Inf,Inf,Inf,Inf,Inf,27.2915099388796,38.6046301642031,Inf,Inf,Inf,Inf,Inf,Inf
7.0,47.05546739771526,52.430232073963786,20.805342387818033,31.528252608235587,Inf,Inf,Inf,Inf,Inf,Inf,20.805342387818033,31.528252608235587,Inf,Inf,Inf,Inf,Inf,Inf
8.0,44.01792982563764,60.75437400076753,17.820115817215136,39.49931259435761,Inf,Inf,Inf,Inf,Inf,Inf,17.820115817215136,39.49931259435761,Inf,Inf,Inf,Inf,Inf,Inf
9.0,44.126286725989004,46.50279147333528,14.874132124806,20.63290952780482,Inf,Inf,Inf,Inf,Inf,Inf,14.874132124806,20.63290952780482,Inf,Inf,Inf,Inf,Inf,Inf
10.0,44.395998898787305,53.990804715240884,33.19977270832124,40.31299327904269,Inf,Inf,Inf,Inf,Inf,Inf,33.19977270832124,40.31299327904269,Inf,Inf,Inf,Inf,Inf,Inf
11.0,46.23532226041524,49.72677204457141,14.455582375920583,30.78506970758022,Inf,Inf,Inf,Inf,Inf,Inf,14.455582375920583,30.78506970758022,Inf,Inf,Inf,Inf,Inf,Inf
