sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,55.54468390073973,62.747416864162,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,55.54468390073973,62.747416864162,55.54468390073973,62.747416864162,55.54468390073973,62.747416864162,55.54468390073973,62.747416864162
2.0,35.787875201599505,43.388734037879544,Inf,Inf,68.40136803041499,Inf,Inf,Inf,Inf,Inf,35.787875201599505,43.388734037879544,35.787875201599505,43.388734037879544,35.787875201599505,43.388734037879544,35.787875201599505,43.388734037879544
3.0,40.60447267881845,46.67547742403255,Inf,Inf,Inf,Inf,Inf,Inf,43.18292226290963,Inf,40.60447267881845,46.67547742403255,40.60447267881845,46.67547742403255,40.60447267881845,46.67547742403255,40.60447267881845,43.18292226290963
4.0,48.64590810554812,52.279416188890096,Inf,Inf,Inf,Inf,59.44071842881618,Inf,Inf,Inf,48.64590810554812,52.279416188890096,48.64590810554812,52.279416188890096,48.64590810554812,52.279416188890096,48.64590810554812,52.279416188890096
5.0,21.2245231632123,31.283727200080328,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.2245231632123,31.283727200080328,21.2245231632123,31.283727200080328,21.2245231632123,31.283727200080328,21.2245231632123,31.283727200080328
6.0,42.622319200372786,52.29318395529892,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,42.622319200372786,52.29318395529892,42.622319200372786,52.29318395529892,42.622319200372786,52.29318395529892,42.622319200372786,52.29318395529892
7.0,42.82410995040582,45.7151849712497,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,42.82410995040582,45.7151849712497,42.82410995040582,45.7151849712497,42.82410995040582,45.7151849712497,42.82410995040582,45.7151849712497
8.0,50.884837665249954,55.09051839494569,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,50.884837665249954,55.09051839494569,50.884837665249954,55.09051839494569,50.884837665249954,55.09051839494569,50.884837665249954,55.09051839494569
9.0,9.108659941345993,36.55852989246698,Inf,Inf,Inf,Inf,75.41924419338949,Inf,Inf,Inf,9.108659941345993,36.55852989246698,9.108659941345993,36.55852989246698,9.108659941345993,36.55852989246698,9.108659941345993,36.55852989246698
10.0,48.14953181361432,48.5666232250813,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,48.14953181361432,48.5666232250813,48.14953181361432,48.5666232250813,48.14953181361432,48.5666232250813,48.14953181361432,48.5666232250813
11.0,28.493773789409197,44.950216890440004,Inf,Inf,70.81192887189498,Inf,Inf,Inf,Inf,Inf,28.493773789409197,44.950216890440004,28.493773789409197,44.950216890440004,28.493773789409197,44.950216890440004,28.493773789409197,44.950216890440004
12.0,27.304257174095348,58.09589970348947,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,27.304257174095348,58.09589970348947,27.304257174095348,58.09589970348947,27.304257174095348,58.09589970348947,27.304257174095348,58.09589970348947
13.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
14.0,42.810140889560074,46.95859228313326,Inf,Inf,Inf,Inf,Inf,Inf,62.205843795428294,Inf,42.810140889560074,46.95859228313326,42.810140889560074,46.95859228313326,42.810140889560074,46.95859228313326,42.810140889560074,46.95859228313326
15.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
16.0,30.791945643946402,41.62059059083557,Inf,Inf,Inf,Inf,62.1646410059542,Inf,65.91998116581038,Inf,30.791945643946402,41.62059059083557,30.791945643946402,41.62059059083557,30.791945643946402,41.62059059083557,30.791945643946402,41.62059059083557
17.0,52.57687917167824,66.70449030327418,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,52.57687917167824,66.70449030327418,52.57687917167824,66.70449030327418,52.57687917167824,66.70449030327418,52.57687917167824,66.70449030327418
18.0,24.189559424706065,55.84249622622968,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,24.189559424706065,55.84249622622968,24.189559424706065,55.84249622622968,24.189559424706065,55.84249622622968,24.189559424706065,55.84249622622968
19.0,30.059552514274394,46.72797088373193,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,30.059552514274394,46.72797088373193,30.059552514274394,46.72797088373193,30.059552514274394,46.72797088373193,30.059552514274394,46.72797088373193
20.0,25.263428333327013,41.597429070736055,Inf,Inf,62.77700958310567,Inf,Inf,Inf,Inf,Inf,25.263428333327013,41.597429070736055,25.263428333327013,41.597429070736055,25.263428333327013,41.597429070736055,25.263428333327013,41.597429070736055
21.0,37.0441349050582,39.76621067414712,Inf,Inf,64.96515700702197,Inf,Inf,Inf,66.43948054617033,Inf,37.0441349050582,39.76621067414712,37.0441349050582,39.76621067414712,37.0441349050582,39.76621067414712,37.0441349050582,39.76621067414712
22.0,31.79046438447927,52.098360373612365,Inf,Inf,64.10704651547336,Inf,70.96605430728776,Inf,Inf,Inf,31.79046438447927,52.098360373612365,31.79046438447927,52.098360373612365,31.79046438447927,52.098360373612365,31.79046438447927,52.098360373612365
23.0,70.65358179419009,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,70.65358179419009,Inf,70.65358179419009,Inf,70.65358179419009,Inf,70.65358179419009,Inf
24.0,20.48989696741725,30.378843048975106,Inf,Inf,63.0228776301358,Inf,Inf,Inf,67.53199792373245,Inf,20.48989696741725,30.378843048975106,20.48989696741725,30.378843048975106,20.48989696741725,30.378843048975106,20.48989696741725,30.378843048975106
25.0,55.90668970371077,65.0430707875607,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,55.90668970371077,65.0430707875607,55.90668970371077,65.0430707875607,55.90668970371077,65.0430707875607,55.90668970371077,65.0430707875607
26.0,38.70051410213764,44.87897428471979,62.91339348344748,Inf,58.16403516673381,Inf,Inf,Inf,60.25353719629382,Inf,38.70051410213764,44.87897428471979,38.70051410213764,44.87897428471979,38.70051410213764,44.87897428471979,38.70051410213764,44.87897428471979
27.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
28.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
29.0,45.67817255292341,55.616360370926955,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,45.67817255292341,55.616360370926955,45.67817255292341,55.616360370926955,45.67817255292341,55.616360370926955,45.67817255292341,55.616360370926955
30.0,26.54084423271862,43.88195850903937,Inf,Inf,65.1591084313008,Inf,Inf,Inf,43.628240834699895,Inf,26.54084423271862,43.88195850903937,26.54084423271862,43.88195850903937,26.54084423271862,43.88195850903937,26.54084423271862,43.628240834699895
31.0,30.523377126873292,42.273817205410644,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,30.523377126873292,42.273817205410644,30.523377126873292,42.273817205410644,30.523377126873292,42.273817205410644,30.523377126873292,42.273817205410644
