sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,73.82434209973768,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,73.82434209973768,Inf,73.82434209973768,Inf,73.82434209973768,Inf,73.82434209973768,Inf
2.0,46.859947716257075,52.73512981984598,Inf,Inf,52.505511197454645,61.10942142242697,42.50136769471911,Inf,Inf,Inf,46.859947716257075,52.73512981984598,46.859947716257075,52.505511197454645,42.50136769471911,49.85851672566847,46.859947716257075,52.73512981984598
3.0,50.03377726905902,54.37237256244346,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,50.03377726905902,54.37237256244346,50.03377726905902,54.37237256244346,50.03377726905902,54.37237256244346,50.03377726905902,54.37237256244346
4.0,50.268312053594244,55.81972747983852,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,50.268312053594244,55.81972747983852,50.268312053594244,55.81972747983852,50.268312053594244,55.81972747983852,50.268312053594244,55.81972747983852
5.0,46.74393453946628,58.365611296534645,Inf,Inf,34.613859442719935,Inf,Inf,Inf,Inf,Inf,46.74393453946628,58.365611296534645,34.613859442719935,56.623733671640146,46.74393453946628,58.365611296534645,46.74393453946628,58.365611296534645
6.0,57.12621675373585,66.0344420607727,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,57.12621675373585,66.0344420607727,57.12621675373585,66.0344420607727,57.12621675373585,66.0344420607727,57.12621675373585,66.0344420607727
7.0,49.48347608794104,51.37854561245989,Inf,Inf,49.139153841086994,Inf,Inf,Inf,61.45910487824157,Inf,49.48347608794104,51.37854561245989,49.139153841086994,51.21228413006082,49.48347608794104,51.37854561245989,49.139153841086994,51.21228413006082
8.0,23.276042912185588,38.621009826554484,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,23.276042912185588,38.621009826554484,23.276042912185588,38.621009826554484,23.276042912185588,38.621009826554484,23.276042912185588,38.621009826554484
9.0,14.067255728359125,46.29830405773056,64.65980135229945,Inf,Inf,Inf,Inf,Inf,Inf,Inf,14.067255728359125,46.29830405773056,14.067255728359125,46.29830405773056,14.067255728359125,46.29830405773056,14.067255728359125,46.29830405773056
10.0,45.73458945136362,57.43335078946877,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,45.73458945136362,57.43335078946877,45.73458945136362,57.43335078946877,45.73458945136362,57.43335078946877,45.73458945136362,57.43335078946877
