sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,78.64012619094785,Inf,Inf,Inf,Inf,Inf,Inf,Inf,64.0135274312233,Inf,78.64012619094785,Inf,78.64012619094785,Inf,78.64012619094785,Inf,64.0135274312233,Inf
2.0,37.78501376574783,48.30288174983307,44.75766095391051,50.704415856554185,57.40721536308982,59.08220225263344,39.534142248488344,53.06075750381831,41.43000540329011,62.999167152333854,37.78501376574783,44.75766095391051,37.78501376574783,44.75766095391051,37.78501376574783,44.02887193004737,37.78501376574783,41.43000540329011
3.0,42.870191692696224,51.34891083805424,61.357914060604344,68.23134677021979,59.30819551330372,62.223022289980925,47.181793589619744,64.1565732437667,59.44300010028879,61.42686428833453,42.870191692696224,51.34891083805424,42.870191692696224,51.34891083805424,42.870191692696224,49.28605749827647,42.870191692696224,49.28605749827647
4.0,48.762224844217975,53.83288545661756,63.0717859022674,Inf,Inf,Inf,Inf,Inf,62.06267586743327,62.47800998413473,48.762224844217975,53.83288545661756,48.762224844217975,53.83288545661756,48.762224844217975,53.83288545661756,48.762224844217975,53.83288545661756
5.0,25.54856144602975,46.763302143411316,50.06715884604893,61.63943845221215,52.60779287437216,60.0922338372418,64.005160387748,67.50809140499085,61.059190647987606,Inf,25.54856144602975,46.763302143411316,25.54856144602975,46.763302143411316,25.54856144602975,46.763302143411316,25.54856144602975,46.763302143411316
6.0,51.73244895401066,64.20654397971116,69.42125984178254,Inf,68.02631940181587,Inf,Inf,Inf,Inf,Inf,51.73244895401066,64.20654397971116,51.73244895401066,64.20654397971116,51.73244895401066,64.20654397971116,51.73244895401066,64.20654397971116
7.0,43.39934691919005,55.06132508286416,47.25089025491552,51.542753848284114,39.72272805836094,52.70934068809804,61.23599387987695,63.23905445497019,59.29853893476639,61.86707698330875,43.39934691919005,47.25089025491552,39.72272805836094,44.930796216389325,39.72272805836094,44.930796216389325,39.72272805836094,44.930796216389325
8.0,57.126313476759215,64.27739993841716,64.92668276760027,68.03712291061366,60.047435299738495,Inf,60.13638953268724,Inf,63.02214148368973,Inf,57.126313476759215,64.27739993841716,57.126313476759215,60.047435299738495,57.126313476759215,60.047435299738495,57.126313476759215,60.047435299738495
9.0,28.368645978917463,46.853697982154905,53.05240101552572,59.978210029596994,52.0672509708961,59.87529291247242,38.51781351223302,64.5116459599903,57.78081226064168,67.61303315256237,28.368645978917463,46.853697982154905,28.368645978917463,46.853697982154905,28.368645978917463,46.829588605039625,28.368645978917463,46.829588605039625
10.0,46.78591739888854,55.22278948526863,58.505991716593286,65.63316568377239,59.38672744966452,66.51529119697724,59.651118341961876,72.41180054097583,Inf,Inf,46.78591739888854,55.22278948526863,46.78591739888854,55.22278948526863,46.78591739888854,55.22278948526863,46.78591739888854,55.22278948526863
11.0,15.637871011730741,57.227081156861175,46.00806348605927,56.62605403301927,52.67176160500751,54.867716924952965,64.42988001571445,69.28195073047914,43.59553474596317,59.63533736816656,15.637871011730741,46.00806348605927,15.637871011730741,46.00806348605927,15.637871011730741,46.00806348605927,15.637871011730741,43.59553474596317
12.0,33.713865892328286,63.03887324845552,Inf,Inf,60.83503989578057,Inf,43.87802639004849,69.40410548657603,64.84324660211317,Inf,33.713865892328286,63.03887324845552,33.713865892328286,62.17199486479484,33.713865892328286,60.83503989578057,33.713865892328286,60.83503989578057
13.0,58.213713376428686,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,58.213713376428686,Inf,58.213713376428686,Inf,58.213713376428686,Inf,58.213713376428686,Inf
14.0,47.27887170081822,61.59910007117745,52.70749291039651,59.13546182720075,56.41639718015283,61.38453945415678,58.85116062828491,60.07522153603274,55.338950297760164,62.65968987386193,47.27887170081822,56.36824839175286,47.27887170081822,56.36824839175286,47.27887170081822,56.36824839175286,47.27887170081822,55.338950297760164
15.0,85.12813265958951,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,85.12813265958951,Inf,85.12813265958951,Inf,85.12813265958951,Inf,85.12813265958951,Inf
16.0,34.68147076308115,45.52681261296147,51.22179920806613,54.763377948082656,41.8577694534093,57.13428276433192,55.16879464546206,57.65537188210872,52.103564410032796,58.299035937595455,34.68147076308115,45.52681261296147,34.68147076308115,41.8577694534093,34.68147076308115,41.8577694534093,34.68147076308115,41.8577694534093
17.0,66.15411560526971,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,66.15411560526971,Inf,66.15411560526971,Inf,66.15411560526971,Inf,66.15411560526971,Inf
18.0,29.030067591876183,60.67377043429257,67.80455332703892,Inf,Inf,Inf,Inf,Inf,Inf,Inf,29.030067591876183,60.67377043429257,29.030067591876183,60.67377043429257,29.030067591876183,60.67377043429257,29.030067591876183,60.67377043429257
19.0,48.479107053089336,51.58134894918778,36.68062847917918,52.95769646546283,47.8200306189913,51.66521539762816,59.814339528515994,71.92395549788374,45.70549080585509,57.79627336229055,36.68062847917918,49.56310665424232,36.68062847917918,48.479107053089336,36.68062847917918,48.479107053089336,36.68062847917918,47.8200306189913
