sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,67.36420189013991,73.14258974916919,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,67.36420189013991,73.14258974916919,67.36420189013991,73.14258974916919,67.36420189013991,73.14258974916919,67.36420189013991,73.14258974916919
2.0,31.192567712598652,47.57575926182819,40.68279545977521,Inf,53.51103618995028,65.80790056782986,Inf,Inf,51.12552014642711,59.94803849914108,31.192567712598652,44.11937910126506,31.192567712598652,44.11937910126506,31.192567712598652,47.57575926182819,31.192567712598652,44.11937910126506
3.0,46.3272079449078,48.211128709657146,63.74128874014443,Inf,61.445378838074696,Inf,Inf,Inf,48.53191207908032,61.10802052981985,46.3272079449078,48.211128709657146,46.3272079449078,48.211128709657146,46.3272079449078,48.211128709657146,46.3272079449078,48.211128709657146
4.0,48.89271955045739,53.60934649377031,Inf,Inf,59.00832360886636,Inf,Inf,Inf,68.17949378860456,Inf,48.89271955045739,53.60934649377031,48.89271955045739,53.60934649377031,48.89271955045739,53.60934649377031,48.89271955045739,53.60934649377031
5.0,29.740405836727422,42.794914020273495,Inf,Inf,46.268321427644544,Inf,Inf,Inf,57.671136800209744,63.20324460515771,29.740405836727422,42.794914020273495,29.740405836727422,42.794914020273495,29.740405836727422,42.794914020273495,29.740405836727422,42.794914020273495
6.0,55.322541516118015,60.09963257592816,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,55.322541516118015,60.09963257592816,55.322541516118015,60.09963257592816,55.322541516118015,60.09963257592816,55.322541516118015,60.09963257592816
7.0,43.91756891566663,48.62229704358808,Inf,Inf,66.4276036327932,69.91684726737329,Inf,Inf,49.24452617587134,55.383154750177994,43.91756891566663,48.62229704358808,43.91756891566663,48.62229704358808,43.91756891566663,48.62229704358808,43.91756891566663,48.62229704358808
8.0,51.159545244659945,59.02617961236106,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,51.159545244659945,59.02617961236106,51.159545244659945,59.02617961236106,51.159545244659945,59.02617961236106,51.159545244659945,59.02617961236106
9.0,39.323043354210576,42.54381744175456,51.89007844856994,59.271519016547145,59.18193788394236,Inf,54.00393909844558,Inf,58.261419938852576,65.60601750089899,39.323043354210576,42.54381744175456,39.323043354210576,42.54381744175456,39.323043354210576,42.54381744175456,39.323043354210576,42.54381744175456
10.0,48.6869232290653,60.52322268683564,Inf,Inf,Inf,Inf,49.259620703820076,Inf,61.418880176783766,Inf,48.6869232290653,60.52322268683564,48.6869232290653,60.52322268683564,48.6869232290653,59.90195878070418,48.6869232290653,59.90195878070418
11.0,21.04946228067982,49.6162390015816,65.04403509858999,75.40217185761527,38.68723921810945,Inf,Inf,Inf,33.301384746925166,61.7971769817029,21.04946228067982,49.6162390015816,21.04946228067982,46.9571417533236,21.04946228067982,49.6162390015816,21.04946228067982,38.68723921810945
12.0,61.16706884239958,65.72662777337386,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,61.16706884239958,65.72662777337386,61.16706884239958,65.72662777337386,61.16706884239958,65.72662777337386,61.16706884239958,65.72662777337386
13.0,67.26370410827617,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,67.26370410827617,Inf,67.26370410827617,Inf,67.26370410827617,Inf,67.26370410827617,Inf
14.0,46.83476897223955,50.76613883541773,Inf,Inf,Inf,Inf,Inf,Inf,55.50635340210664,62.66401522224112,46.83476897223955,50.76613883541773,46.83476897223955,50.76613883541773,46.83476897223955,50.76613883541773,46.83476897223955,50.76613883541773
15.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
16.0,38.25909144755823,42.31559127488504,60.90631319717485,63.72380892210515,62.56575645796426,63.17820401944596,59.360177891578026,Inf,49.57638174594661,57.57544371922967,38.25909144755823,42.31559127488504,38.25909144755823,42.31559127488504,38.25909144755823,42.31559127488504,38.25909144755823,42.31559127488504
17.0,72.4443109452343,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,72.4443109452343,Inf,72.4443109452343,Inf,72.4443109452343,Inf,72.4443109452343,Inf
18.0,53.97305749987996,61.87888342463358,Inf,Inf,Inf,Inf,Inf,Inf,59.36438689546338,Inf,53.97305749987996,61.87888342463358,53.97305749987996,61.87888342463358,53.97305749987996,61.87888342463358,53.97305749987996,59.36438689546338
19.0,48.01919786094193,54.88645724744709,58.78852629706043,64.98305849560083,47.18178493434926,Inf,65.64515722487462,Inf,54.021933727599716,57.734117765432806,48.01919786094193,54.88645724744709,47.18178493434926,53.852029891599976,47.18178493434926,53.852029891599976,47.18178493434926,53.852029891599976
20.0,22.857047360672972,43.55706711389815,53.33803779720165,59.754809647663905,59.18149912346609,63.33911721417604,57.345373681276406,69.20707023473841,36.947172740555516,53.500702798002976,22.857047360672972,43.55706711389815,22.857047360672972,43.55706711389815,22.857047360672972,43.55706711389815,22.857047360672972,36.947172740555516
21.0,48.20140345883268,54.91482708503391,Inf,Inf,52.81862630696703,58.185200703290356,41.17624747132148,64.15482143832841,61.32613803015062,61.972635724661124,48.20140345883268,54.91482708503391,48.20140345883268,54.84719961251571,41.17624747132148,52.81862630696703,41.17624747132148,52.81862630696703
22.0,33.328605525994305,55.27776598240788,Inf,Inf,62.672258311386855,Inf,65.65287036584388,Inf,44.42333596631384,56.90734888214398,33.328605525994305,55.27776598240788,33.328605525994305,55.27776598240788,33.328605525994305,55.27776598240788,33.328605525994305,52.93532950233293
23.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
24.0,35.12619637014213,43.881994584228565,51.60210111258965,64.96340018628847,44.94260836868958,62.917889434349085,57.09848944831437,59.624883681697085,38.44879921626973,60.84081274421772,35.12619637014213,43.881994584228565,35.12619637014213,43.881994584228565,35.12619637014213,43.881994584228565,35.12619637014213,38.44879921626973
25.0,61.8827760757528,68.96271944068133,Inf,Inf,Inf,Inf,Inf,Inf,67.44933789598858,Inf,61.8827760757528,68.96271944068133,61.8827760757528,68.96271944068133,61.8827760757528,68.96271944068133,61.8827760757528,67.44933789598858
26.0,46.78463484549997,52.94329077464695,46.7667165535318,Inf,76.0471308050465,Inf,49.551005036934605,Inf,45.750507719767256,68.04710423119121,46.7667165535318,52.46699597261645,46.7667165535318,52.46699597261645,46.7667165535318,49.551005036934605,45.750507719767256,46.78463484549997
27.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
28.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
29.0,53.09391407321064,64.84589755658517,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,53.09391407321064,64.84589755658517,53.09391407321064,64.84589755658517,53.09391407321064,64.84589755658517,53.09391407321064,64.84589755658517
30.0,43.94155732408515,49.78106908145044,50.15831965797895,70.23389910259222,54.187297965396645,66.17013616883743,65.9699650208631,Inf,58.19070895188961,61.92795343049058,43.94155732408515,49.78106908145044,43.94155732408515,49.78106908145044,43.94155732408515,49.78106908145044,43.94155732408515,49.78106908145044
31.0,41.17624122888921,48.79997476829499,62.64507789021259,68.78167032680703,Inf,Inf,46.00849607327858,66.29249405081616,55.703261560098674,64.99856500750826,41.17624122888921,48.79997476829499,41.17624122888921,48.79997476829499,41.17624122888921,48.478392580461694,41.17624122888921,48.478392580461694
32.0,42.208661772784815,49.283615769819626,44.2624868815948,65.08688126571101,60.69097779501582,62.09446304686917,60.87647535427758,73.56842050937007,51.9202562800837,57.52869142188966,42.208661772784815,45.30115614463831,42.208661772784815,45.30115614463831,42.208661772784815,45.30115614463831,42.208661772784815,45.30115614463831
33.0,48.440206867234096,56.32456561861448,61.55121283295563,Inf,53.07153967405798,Inf,67.31616878855255,Inf,71.28180081046787,Inf,48.440206867234096,56.32456561861448,48.440206867234096,56.03484374004928,48.440206867234096,56.03484374004928,48.440206867234096,56.03484374004928
34.0,68.65673807279748,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,68.65673807279748,Inf,68.65673807279748,Inf,68.65673807279748,Inf,68.65673807279748,Inf
35.0,56.20721551514419,59.55309865637406,Inf,Inf,Inf,Inf,Inf,Inf,61.0264817362676,Inf,56.20721551514419,59.55309865637406,56.20721551514419,59.55309865637406,56.20721551514419,59.55309865637406,56.20721551514419,59.55309865637406
