sim_n,ICU_TD,ICU_3TD,PC_TD_min_summer,PC_3TD_min_summer,PC_TD_max_summer,PC_3TD_max_summer,PC_TD_min_winter,PC_3TD_min_winter,PC_TD_max_winter,PC_3TD_max_winter,ICU_PC_TD_min_summer,ICU_PC_3TD_min_summer,ICU_PC_TD_max_summer,ICU_PC_3TD_max_summer,ICU_PC_TD_min_winter,ICU_PC_3TD_min_winter,ICU_PC_TD_max_winter,ICU_PC_3TD_max_winter
1.0,63.65829453799871,Inf,66.2961054620179,Inf,61.280553402054146,63.243821535841555,Inf,Inf,76.55398243327616,Inf,63.65829453799871,71.34802915522718,61.280553402054146,63.243821535841555,63.65829453799871,Inf,61.280553402054146,63.243821535841555
2.0,34.224484199016324,46.15767792584098,43.62836417810169,47.46383751416612,42.720043985079165,44.11222207001829,30.12540012345665,47.01972695863306,50.51470710657328,53.27458140040352,34.224484199016324,43.62836417810169,34.224484199016324,43.17180998084335,30.12540012345665,42.720043985079165,30.12540012345665,42.720043985079165
3.0,50.60809895590141,51.82264544780224,44.96352770702269,47.310838459145735,45.54990062700556,52.6516304653503,46.969999964680355,56.02809455303325,51.38016387605145,55.47216708080685,44.96352770702269,47.310838459145735,44.96352770702269,46.53424942411883,44.96352770702269,46.53424942411883,44.96352770702269,46.53424942411883
4.0,50.610875105093584,61.68798691201594,58.063307962635896,62.956176188647326,44.6186970455572,55.57560874882135,54.9707254842248,64.9955458992344,50.78930237891897,62.03089509009898,50.610875105093584,59.082566844514965,44.6186970455572,55.24577414406467,44.6186970455572,54.9707254842248,44.6186970455572,50.78930237891897
5.0,40.018914871295415,51.23591063469685,31.856984136468935,44.18741783071477,55.981553643253804,59.48404015365493,15.322215514547228,58.52394642386104,40.20238997378136,49.42845139099992,31.856984136468935,42.51870686941128,31.856984136468935,42.51870686941128,15.322215514547228,40.018914871295415,15.322215514547228,40.018914871295415
6.0,42.630915527027454,68.96982261900587,52.354767566768345,57.35224031010445,27.030288397334886,59.07789046610435,62.35531671781719,Inf,60.710757592705626,Inf,42.630915527027454,54.10435811400734,27.030288397334886,51.2822032428994,27.030288397334886,51.2822032428994,27.030288397334886,51.2822032428994
7.0,49.611291911774785,55.21885244091635,39.108095151635986,41.934732509580606,33.33582973992527,43.24721692461258,47.88576053615423,50.99145835507438,46.634772713367575,53.53193893939727,39.108095151635986,41.934732509580606,33.33582973992527,40.04312680463274,33.33582973992527,40.04312680463274,33.33582973992527,40.04312680463274
8.0,57.38974378384729,61.50059149785869,42.2327188458508,56.20430779282883,38.100407684782354,59.28729894182405,62.86926984274302,70.39585537632861,55.883572762457376,60.42198196498036,42.2327188458508,56.20430779282883,38.100407684782354,55.8517953835688,38.100407684782354,55.8517953835688,38.100407684782354,55.8517953835688
9.0,36.37101377164065,49.972841069665876,14.461168460003675,43.292589615362985,23.144294577941274,35.32074600039436,46.48720387360308,55.91217953533207,45.87358374834267,47.13991968684658,14.461168460003675,36.37101377164065,14.461168460003675,34.479348260200815,14.461168460003675,34.479348260200815,14.461168460003675,34.479348260200815
10.0,47.446668040505685,56.52583091273672,36.93181245337398,43.50534826485794,47.26725613969519,52.44880118103909,56.77365140971751,64.97969975127356,33.21110298965107,57.957448513529556,36.93181245337398,43.50534826485794,36.93181245337398,43.50534826485794,36.93181245337398,43.50534826485794,33.21110298965107,40.524141188023506
11.0,38.46522513834938,44.31742839496403,32.33770542748455,45.99063268891519,35.24744491549368,53.39497344510863,53.90140701161287,55.950473373540866,58.40751693746341,59.94697166513822,32.33770542748455,38.46522513834938,32.33770542748455,35.24744491549368,32.33770542748455,35.24744491549368,32.33770542748455,35.24744491549368
12.0,54.07029634779332,67.24522596083897,65.22908497000138,69.74814214775253,Inf,Inf,70.1230686816666,Inf,63.37755709844471,Inf,54.07029634779332,65.25557089202965,54.07029634779332,67.24522596083897,54.07029634779332,65.25557089202965,54.07029634779332,65.22908497000138
13.0,75.89000148096927,Inf,62.900828205726214,Inf,53.502270693298314,Inf,64.89997119935505,Inf,Inf,Inf,62.900828205726214,Inf,53.502270693298314,75.89000148096927,53.502270693298314,64.89997119935505,75.89000148096927,Inf
14.0,43.9991915274858,53.66563326223207,51.39997187326075,53.633491231427286,51.45571085943499,58.06134228808254,41.36247056609155,56.29591848957288,47.35173298799597,58.050830494679374,43.9991915274858,51.39997187326075,43.9991915274858,51.39997187326075,41.36247056609155,46.913220050007816,41.36247056609155,46.913220050007816
15.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,42.05094101411828,Inf,Inf,Inf,Inf,Inf,Inf,Inf,42.05094101411828,Inf
16.0,35.24134092774822,44.71110117585988,41.341007273967016,49.96783396970557,44.800958124554214,51.737123648106206,44.767081418327734,54.40696346855769,32.60928756860812,47.233706266280194,35.24134092774822,41.341007273967016,35.24134092774822,41.341007273967016,35.24134092774822,41.341007273967016,32.60928756860812,36.42923048993617
17.0,46.70973249421499,68.33461669307516,57.5593669285701,Inf,48.58900119156098,Inf,65.38851225371803,Inf,65.32499022635801,Inf,46.70973249421499,68.16335078414184,46.70973249421499,57.5593669285701,46.70973249421499,57.5593669285701,46.70973249421499,57.5593669285701
18.0,49.01449310054686,60.28715630947947,51.29598768914748,Inf,56.6847462777305,61.137765089262835,51.279856195482765,62.659948806759914,62.424020154284456,Inf,49.01449310054686,60.102893161203674,49.01449310054686,56.6847462777305,49.01449310054686,51.29598768914748,49.01449310054686,51.29598768914748
19.0,33.408692184490974,49.29417810627949,42.576704027971346,53.83941720235099,43.460695923129265,50.959168049511646,34.65094612861499,52.916026535086445,46.99084149014376,53.09848541953252,33.408692184490974,42.576704027971346,33.408692184490974,42.576704027971346,33.408692184490974,39.53057103168072,33.408692184490974,39.53057103168072
20.0,40.598805838341356,45.803587761316386,42.04105956549142,45.45262898015445,37.15330512282524,43.28885650696303,34.52161477799967,42.56472537231582,38.84469252177564,44.69339420828295,40.598805838341356,42.40795853637498,37.15330512282524,40.598805838341356,34.52161477799967,37.28827352706238,34.52161477799967,37.28827352706238
21.0,35.519925312838645,49.67661494846039,29.433988936419304,45.985775453728664,40.394109426532026,44.6937435749713,49.6949119322239,53.23027410548201,35.980611300279854,46.33275172639154,29.433988936419304,42.48823068544992,29.433988936419304,40.394109426532026,29.433988936419304,40.394109426532026,29.433988936419304,35.980611300279854
22.0,46.58481162899707,56.10464313544026,55.3430429094425,57.55341604949404,44.63187685530715,50.16614066739835,53.0884667094401,54.77599038589253,48.53353824166043,57.02241512770607,46.58481162899707,55.95304321767804,44.63187685530715,49.847733168344156,44.63187685530715,49.847733168344156,44.63187685530715,48.53353824166043
23.0,Inf,Inf,60.54611839997392,Inf,Inf,Inf,65.13683857311318,Inf,60.40589343972632,Inf,60.54611839997392,Inf,Inf,Inf,65.13683857311318,Inf,60.40589343972632,Inf
24.0,34.1353433396096,46.818152378377256,28.125604585476175,44.335632810598206,40.20813212266084,42.257824267653106,44.50981511870013,48.9393612494259,42.07455654533717,54.273548307034,28.125604585476175,37.20550150048595,28.125604585476175,37.20550150048595,28.125604585476175,37.20550150048595,28.125604585476175,37.20550150048595
25.0,56.453509396322595,65.40866987431392,38.78281819794541,60.65099978583593,52.70198918679956,60.64212878189232,72.40811744934938,Inf,66.22729977750909,Inf,38.78281819794541,57.65233626060643,38.78281819794541,56.453509396322595,38.78281819794541,56.453509396322595,38.78281819794541,56.453509396322595
26.0,29.644337191035433,39.90954071588818,38.95855310208036,43.857374958874054,42.49019063897643,47.04512154067885,36.17008241203959,51.294503997709825,25.679567293418543,54.220345887431655,29.644337191035433,38.95855310208036,29.644337191035433,38.95855310208036,29.644337191035433,37.14559075940986,25.679567293418543,36.17008241203959
27.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
28.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
29.0,61.58491398981429,68.23399266256742,48.91230906049092,56.16533509405163,53.57073851746628,61.73782179112409,55.94488347855531,Inf,60.61306448063974,Inf,48.91230906049092,56.16533509405163,48.91230906049092,54.287479903765956,48.91230906049092,54.287479903765956,48.91230906049092,54.287479903765956
30.0,45.643370585104286,50.28085659082015,36.90995433513874,47.95488587222679,28.47209992814554,50.80616241483352,38.83948077724149,55.10834691729015,55.63056000232112,57.43677933999729,36.90995433513874,47.83774406477621,28.47209992814554,45.643370585104286,28.47209992814554,38.83948077724149,28.47209992814554,38.83948077724149
31.0,24.657583023865072,50.06460821313938,24.52540434961599,48.10878304065778,45.40947942741076,54.44569401041194,56.93551833281126,59.944097273319755,26.032501296385362,54.231058716235594,24.52540434961599,46.4175737479175,24.52540434961599,45.40947942741076,24.52540434961599,45.40947942741076,24.52540434961599,26.032501296385362
32.0,48.67453596193293,51.18506897884207,27.931066481888,46.47225896668546,20.261130788163968,47.73042642296076,14.629514783652771,44.18260090099486,30.59922755724999,49.31149383275379,27.931066481888,46.47225896668546,20.261130788163968,39.98799715380404,14.629514783652771,27.931066481888,14.629514783652771,27.931066481888
33.0,46.44605808553744,49.39934921484228,36.316801210918456,49.19252550718309,53.95151729738187,58.16464373532316,56.20815914330102,63.005441180874726,52.19640298483704,62.16401162182638,36.316801210918456,46.44605808553744,36.316801210918456,46.44605808553744,36.316801210918456,46.44605808553744,36.316801210918456,46.44605808553744
34.0,67.1273240630861,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,67.1273240630861,Inf,67.1273240630861,Inf,67.1273240630861,Inf,67.1273240630861,Inf
35.0,58.647526437674685,64.21288529702925,44.89612769217699,62.80619336486377,43.22238241743218,57.7225092994075,65.92916421674319,Inf,42.63710740437745,57.3257999279375,44.89612769217699,60.576206877063115,43.22238241743218,56.701164881839546,43.22238241743218,56.701164881839546,42.63710740437745,44.89612769217699
36.0,14.764986946936698,49.18618369002873,45.79798583090945,49.72191079348952,33.446592610663735,48.15145243197816,28.95440198334629,50.64515637787946,39.26774724705762,49.50296792458205,14.764986946936698,45.79798583090945,14.764986946936698,44.08984584900368,14.764986946936698,33.446592610663735,14.764986946936698,33.446592610663735
37.0,48.35706493716873,52.95243768001244,47.13549367507689,51.82293222278489,29.431122860013037,47.1307187005702,48.94502478819296,52.74398827663287,51.09235467888949,55.507907935617325,47.13549367507689,48.35706493716873,29.431122860013037,47.1307187005702,29.431122860013037,47.1307187005702,29.431122860013037,47.1307187005702
38.0,45.05283467044502,51.842635598490524,39.91083543674646,41.309703527142744,26.095893599530044,52.915638670601396,49.65425915594373,55.83309712301578,54.526698813757015,56.8304968857529,39.91083543674646,41.309703527142744,26.095893599530044,39.91083543674646,26.095893599530044,39.91083543674646,26.095893599530044,39.91083543674646
39.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
